code,name
000033,*ST新都
000037,*ST南电A
000155,*ST川化
000403,ST生化
000408,*ST金源
000504,*ST生物
000505,*ST珠江
000511,*ST烯碳
000606,*ST易桥
000611,*ST天首
000622,*ST恒立
000629,*ST钒钛
000633,*ST合金
000670,*ST盈方
000691,ST亚太
000693,ST华泽
000717,*ST韶钢
000831,*ST五稀
000856,*ST冀装
000913,*ST钱江
000933,*ST神火
000950,*ST建峰
000962,*ST东钽
000968,*ST煤气
000995,*ST皇台
002061,*ST江化
002069,*ST獐岛
002109,*ST兴化
002173,*ST创疗
002199,*ST东晶
002289,*ST宇顺
002336,*ST人乐
002379,*ST鲁丰
002423,*ST中特
002513,*ST蓝丰
002608,*ST舜船
600091,ST明科
600145,*ST新亿
600212,*ST江泉
600230,*ST沧大
600234,*ST山水
600247,ST成城
600265,*ST景谷
600301,*ST南化
600306,*ST商城
600319,*ST亚星
600339,*ST天利
600375,*ST星马
600390,*ST金瑞
600432,*ST吉恩
600520,*ST中发
600539,ST狮头
600546,*ST山煤
600556,ST慧球
600581,*ST八钢
600603,*ST兴业
600675,*ST中企
600701,*ST工新
600710,*ST常林
600721,*ST百花
600725,*ST云维
600732,*ST新梅
600760,*ST黑豹
600806,*ST昆机
600817,*ST宏盛
600866,*ST星湖
601918,*ST新集
