code,name,year,report_date,divi,shares
000508,琼民源A,1997,--,0,2.8
000508,琼民源A,1997,1900-01-01,0,7.0
600343,航天动力,2002,--,2.0,0.0
600478,科力远,2002,2003-10-27,1.8,0.0
600355,精伦电子,2002,2003-03-01,4.0,10.0
600375,*ST星马,2002,2003-01-01,1.2,0.0
600572,康恩贝,2003,--,6.0,0.0
600003,ST东北高,2003,2004-06-22,0.5,0.0
600247,ST成城,2003,2004-06-12,0.0,8.0
600483,福能股份,2003,2004-05-26,0.8,0.0
600114,东睦股份,2003,2004-05-26,8.5,0.0
600468,百利电气,2003,2004-05-21,0.0,6.0
600986,科达股份,2003,2004-05-18,2.0,3.0
600555,海航创新,2003,2004-04-29,1.5,0.0
600345,长江通信,2003,2004-04-29,0.5,0.0
000999,华润三九,2003,2004-04-28,0.5,0.0
000720,新能泰山,2003,2004-04-28,0.5,8.0
600841,上柴股份,2003,2004-04-28,1.5,0.0
600272,开开实业,2003,2004-04-28,0.6,0.0
000725,京东方A,2003,2004-04-27,0.1,10.0
600682,南京新百,2003,2004-04-27,1.5,0.0
000066,长城电脑,2003,2004-04-26,1.0,0.0
000045,深纺织A,2003,2004-04-26,1.8,10.0
000021,深科技,2003,2004-04-26,1.0,0.0
600004,白云机场,2003,2004-04-24,1.0,0.0
000712,锦龙股份,2003,2004-04-24,0.5,0.0
000659,珠海中富,2003,2004-04-24,0.0,6.0
600811,东方集团,2003,2004-04-24,0.0,2.0
000417,合肥百货,2003,2004-04-24,0.0,2.0
600744,华银电力,2003,2004-04-24,0.3,0.0
600642,申能股份,2003,2004-04-24,3.0,5.0
600498,烽火通信,2003,2004-04-24,1.2,0.0
600395,盘江股份,2003,2004-04-24,1.0,0.0
600232,金鹰股份,2003,2004-04-24,1.0,0.0
600220,江苏阳光,2003,2004-04-24,0.0,10.0
600196,复星医药,2003,2004-04-24,2.0,10.0
600020,中原高速,2003,2004-04-23,5.0,0.0
000761,本钢板材,2003,2004-04-23,2.0,0.0
000702,正虹科技,2003,2004-04-23,0.7,0.0
000651,格力电器,2003,2004-04-23,3.3,0.0
600851,海欣股份,2003,2004-04-23,1.0,0.0
600637,东方明珠,2003,2004-04-23,1.0,0.0
600532,宏达矿业,2003,2004-04-23,0.0,3.0
600057,象屿股份,2003,2004-04-23,3.2,0.0
600513,联环药业,2003,2004-04-22,0.5,0.0
000899,赣能股份,2003,2004-04-22,1.0,0.0
000616,海航投资,2003,2004-04-22,0.2,5.0
000530,大冷股份,2003,2004-04-22,1.0,0.0
600295,鄂尔多斯,2003,2004-04-22,1.0,0.0
600726,华电能源,2003,2004-04-22,0.7,0.0
600619,海立股份,2003,2004-04-22,0.0,4.0
600598,北大荒,2003,2004-04-22,2.2,0.0
600559,老白干酒,2003,2004-04-22,1.0,0.0
600326,西藏天路,2003,2004-04-22,1.5,0.0
600269,赣粤高速,2003,2004-04-22,2.0,10.0
600257,大湖股份,2003,2004-04-22,0.0,10.0
600249,两面针,2003,2004-04-21,3.5,0.0
000798,中水渔业,2003,2004-04-21,0.5,0.0
000757,浩物股份,2003,2004-04-21,0.0,6.0
000099,中信海直,2003,2004-04-21,2.0,10.0
000088,盐田港,2003,2004-04-21,10.0,10.0
000031,中粮地产,2003,2004-04-21,2.0,0.0
600607,上实医药,2003,2004-04-21,3.0,0.0
600153,建发股份,2003,2004-04-21,5.0,6.0
600540,新赛股份,2003,2004-04-20,1.0,2.0
600545,新疆城建,2003,2004-04-20,1.0,0.0
600401,海润光伏,2003,2004-04-20,0.5,10.0
600433,冠豪高新,2003,2004-04-20,1.5,0.0
600570,恒生电子,2003,2004-04-20,4.3,0.0
000985,大庆华科,2003,2004-04-20,0.6,0.0
000936,华西股份,2003,2004-04-20,0.5,8.0
000875,吉电股份,2003,2004-04-20,1.0,0.0
600829,人民同泰,2003,2004-04-20,0.0,5.0
600819,耀皮玻璃,2003,2004-04-20,2.4,10.0
600668,尖峰集团,2003,2004-04-20,1.0,0.0
600664,哈药股份,2003,2004-04-20,1.0,3.0
600321,国栋建设,2003,2004-04-20,0.3,3.0
600285,羚锐制药,2003,2004-04-20,0.8,0.0
600236,桂冠电力,2003,2004-04-20,3.0,0.0
600120,浙江东方,2003,2004-04-20,1.0,0.0
000690,宝新能源,2003,2004-04-19,1.2,0.0
000151,中成股份,2003,2004-04-19,1.0,0.0
600287,江苏舜天,2003,2004-04-19,2.5,10.0
600188,兖州煤业,2003,2004-04-19,1.6,0.0
000898,鞍钢股份,2003,2004-04-17,2.0,0.0
000711,京蓝科技,2003,2004-04-17,0.3,0.0
000503,海虹控股,2003,2004-04-17,1.0,10.0
600861,北京城乡,2003,2004-04-17,0.7,0.0
600854,春兰股份,2003,2004-04-17,0.5,0.0
600843,上工申贝,2003,2004-04-17,0.0,3.0
600817,*ST宏盛,2003,2004-04-17,0.0,2.0
600754,锦江股份,2003,2004-04-17,0.6,0.0
000058,深赛格,2003,2004-04-17,1.1,0.0
600741,华域汽车,2003,2004-04-17,0.5,0.0
600686,金龙汽车,2003,2004-04-17,1.3,0.0
600571,信雅达,2003,2004-04-17,3.0,6.0
600346,恒力股份,2003,2004-04-17,0.5,0.0
600279,重庆港九,2003,2004-04-17,0.7,0.0
600246,万通地产,2003,2004-04-17,1.5,0.0
600128,弘业股份,2003,2004-04-17,0.5,0.0
600075,新疆天业,2003,2004-04-17,1.0,0.0
600021,上海电力,2003,2004-04-16,0.2,0.0
600490,鹏欣资源,2003,2004-04-16,1.5,0.0
000998,隆平高科,2003,2004-04-16,1.4,0.0
000971,高升控股,2003,2004-04-16,1.3,0.0
000630,铜陵有色,2003,2004-04-16,1.0,0.0
000581,威孚高科,2003,2004-04-16,2.0,0.0
600739,辽宁成大,2003,2004-04-16,1.0,8.0
600713,南京医药,2003,2004-04-16,0.5,0.0
600708,光明地产,2003,2004-04-16,0.0,5.0
600578,京能电力,2003,2004-04-16,1.8,0.0
600568,中珠医疗,2003,2004-04-16,0.0,5.0
600296,S兰铝,2003,2004-04-16,0.0,3.0
600084,中葡股份,2003,2004-04-16,0.3,10.0
000610,西安旅游,2003,2004-04-15,0.2,0.0
600620,天宸股份,2003,2004-04-15,0.2,0.0
600281,太化股份,2003,2004-04-15,0.2,0.0
600108,亚盛集团,2003,2004-04-15,0.0,5.0
600059,古越龙山,2003,2004-04-15,2.0,0.0
600470,六国化工,2003,2004-04-14,1.5,0.0
600808,马钢股份,2003,2004-04-14,2.1,0.0
000967,盈峰环境,2003,2004-04-13,0.5,0.0
000869,张裕A,2003,2004-04-13,1.0,6.0
000636,风华高科,2003,2004-04-13,0.5,0.0
000539,粤电力A,2003,2004-04-13,2.5,0.0
600857,宁波中百,2003,2004-04-13,0.2,0.0
000027,深圳能源,2003,2004-04-13,3.0,0.0
600748,上实发展,2003,2004-04-13,0.5,0.0
600730,中国高科,2003,2004-04-13,0.0,4.0
600699,均胜电子,2003,2004-04-13,0.2,0.2
600526,菲达环保,2003,2004-04-13,0.0,4.0
600422,昆药集团,2003,2004-04-13,2.5,6.0
600358,国旅联合,2003,2004-04-13,0.0,8.0
600100,同方股份,2003,2004-04-13,1.0,0.0
600512,腾达建设,2003,2004-04-12,1.0,0.0
600444,国机通用,2003,2004-04-10,1.0,0.0
600039,四川路桥,2003,2004-04-10,0.5,2.0
000957,中通客车,2003,2004-04-10,1.0,0.0
000948,南天信息,2003,2004-04-10,0.7,0.0
000890,法尔胜,2003,2004-04-10,0.5,0.0
000063,中兴通讯,2003,2004-04-10,3.0,2.0
000046,泛海控股,2003,2004-04-10,0.3,2.0
600747,大连控股,2003,2004-04-10,0.5,2.0
600694,大商股份,2003,2004-04-10,1.0,0.0
600641,万业企业,2003,2004-04-10,1.0,0.0
600608,上海科技,2003,2004-04-10,0.0,4.0
