
code,name,type,report_date,pre_eps,range
600687,刚泰控股,预亏,2004-04-13,0,0%
600490,鹏欣资源,预减,2003-08-23,0.0,-50%
000009,中国宝安,预减,2003-08-23,0.0,-66.03%
600289,亿阳信通,预增,2003-08-19,0.0,50%
600800,天津磁卡,预增,2003-08-19,0.0,50%
600503,华丽家族,预减,2003-08-16,0.0,-50%
600239,云南城投,预减,2003-08-16,0.0,-50%
600712,南宁百货,预减,2003-08-16,0.0,-50%
600176,中国巨石,预增,2003-08-15,0.0,0%
600859,王府井,预降,2003-08-14,0.0,0%
000880,潍柴重机,预减,2003-08-14,0.0,-50%
600723,首商股份,预亏,2003-08-11,0.0,0%
600664,哈药股份,预增,2003-08-11,0.0,50%
600776,东方通信,预亏,2003-08-09,0.0,0%
600647,同达创业,预亏,2003-08-09,0.0,0%
000995,*ST皇台,预亏,2003-08-08,0.0,0%
600031,三一重工,0,2003-08-08,0.0,0%
600781,辅仁药业,预亏,2003-08-06,0.0,0%
000758,中色股份,预升,2003-08-06,0.0,0%
600784,鲁银投资,预盈,2003-08-06,0.0,0%
600831,广电网络,预增,2003-08-06,0.0,50%
000004,国农科技,减亏,2003-08-05,0.0,0%
600835,上海机电,预增,2003-08-05,0.0,50%
600703,三安光电,预增,2003-08-05,0.0,50%
600029,南方航空,预亏,2003-08-04,0.0,0%
600252,中恒集团,预减,2003-08-02,0.0,-50%
600077,宋都股份,预亏,2003-08-02,0.0,-100%
000996,中国中期,预减,2003-08-01,0.0,-50%
600393,粤泰股份,预亏,2003-08-01,0.0,0%
000700,模塑科技,预增,2003-08-01,0.0,50%
000603,盛达矿业,预亏,2003-07-31,0.0,0%
000418,小天鹅A,预增,2003-07-31,0.0,50%
600221,海南航空,预亏,2003-07-30,0.0,0%
000798,中水渔业,预盈,2003-07-30,0.0,0%
000950,*ST建峰,预盈,2003-07-30,0.0,0%
600894,广日股份,预增,2003-07-30,0.0,50%
600082,海泰发展,预增,2003-07-30,0.0,50%
600778,友好集团,预增,2003-07-30,0.0,50%
600722,金牛化工,预增,2003-07-29,0.0,50%
600634,中技控股,预减,2003-07-29,0.0,-50%
000048,康达尔,预亏,2003-07-29,0.0,0%
600338,西藏珠峰,预亏,2003-07-29,0.0,0%
600779,水井坊,预亏,2003-07-29,0.0,0%
600509,天富能源,预增,2003-07-29,0.0,50%
600863,内蒙华电,预增,2003-07-29,0.0,50%
000859,国风塑业,预减,2003-07-26,0.0,-50%
000511,*ST烯碳,预亏,2003-07-26,0.0,0%
600313,农发种业,预亏,2003-07-26,0.0,0%
000861,海印股份,预亏,2003-07-25,0.0,0%
600864,哈投股份,预盈,2003-07-25,0.0,0%
600086,东方金钰,预减,2003-07-23,0.0,-50%
000955,欣龙控股,预增,2003-07-23,0.0,50%
000543,皖能电力,预增,2003-07-23,0.0,50%
000725,京东方A,预增,2003-07-23,0.0,100%
600112,天成控股,预亏,2003-07-22,0.0,-50%
000620,新华联,预盈,2003-07-22,0.0,0%
000776,广发证券,预盈,2003-07-22,0.0,0%
000715,中兴商业,预增,2003-07-22,0.0,0%
600026,中远海能,预增,2003-07-22,0.0,50%
600815,厦工股份,预增,2003-07-22,0.0,50%
600533,栖霞建设,预增,2003-07-22,0.0,50%
600587,新华医疗,预增,2003-07-22,0.0,50%
000848,承德露露,预减,2003-07-19,0.0,-50%
000679,大连友谊,预亏,2003-07-19,0.0,0%
000415,渤海金控,预亏,2003-07-19,0.0,0%
000716,黑芝麻,预亏,2003-07-19,0.0,0%
600758,红阳能源,预亏,2003-07-19,0.0,0%
000017,深中华A,预盈,2003-07-19,0.0,0%
600522,中天科技,预减,2003-07-18,0.0,-50%
000981,银亿股份,预亏,2003-07-18,0.0,0%
600198,大唐电信,预亏,2003-07-18,0.0,0%
000156,华数传媒,预升,2003-07-18,0.0,0%
000509,华塑控股,预盈,2003-07-18,0.0,0%
600307,酒钢宏兴,预增,2003-07-18,0.0,0%
600166,福田汽车,预增,2003-07-18,0.0,50%
000826,启迪桑德,预盈,2003-07-17,0.0,0%
600890,中房股份,预减,2003-07-17,0.0,-50%
600207,安彩高科,预增,2003-07-17,0.0,50%
000978,桂林旅游,预减,2003-07-16,0.0,-50%
600355,精伦电子,预减,2003-07-16,0.0,-50%
600749,西藏旅游,预亏,2003-07-16,0.0,0%
600844,丹化科技,预亏,2003-07-16,0.0,0%
000815,美利云,预增,2003-07-16,0.0,50%
600775,南京熊猫,预增,2003-07-16,0.0,0%~50%
600711,盛屯矿业,预增,2003-07-16,0.0,50%
600721,*ST百花,预增,2003-07-16,0.0,50%
600496,精工钢构,预减,2003-07-15,0.0,-50%
600573,惠泉啤酒,预减,2003-07-15,0.0,-50%
600766,园城黄金,预亏,2003-07-15,0.0,0%
000410,沈阳机床,预增,2003-07-15,0.0,100%
600250,南纺股份,预增,2003-07-15,0.0,50%
600837,海通证券,预增,2003-07-15,0.0,50%
600578,京能电力,预增,2003-07-15,0.0,50%
600237,铜峰电子,预增,2003-07-15,0.0,50%
600645,中源协和,预增,2003-07-14,0.0,50%
600658,电子城,预亏,2003-07-14,0.0,0%
600333,长春燃气,预增,2003-07-14,0.0,50%
600735,新华锦,预减,2003-07-12,0.0,-50%
600345,长江通信,预减,2003-07-12,0.0,-50%
600857,宁波中百,预减,2003-07-12,0.0,-50%
600643,爱建集团,预亏,2003-07-12,0.0,0%
000557,西部创业,预盈,2003-07-12,0.0,0%
000799,酒鬼酒,预亏,2003-07-11,0.0,0%
600390,*ST金瑞,预亏,2003-07-11,0.0,0%
600107,美尔雅,预盈,2003-07-11,0.0,0%
600750,江中药业,预增,2003-07-11,0.0,50%
000006,深振业A,预减,2003-07-10,0.0,-50%
000555,神州信息,减亏,2003-07-10,0.0,0%
000813,德展健康,预亏,2003-07-10,0.0,0%
000902,新洋丰,预亏,2003-07-10,0.0,0%
600369,西南证券,预亏,2003-07-10,0.0,0%
000570,苏常柴A,预盈,2003-07-10,0.0,0%
600548,深高速,预增,2003-07-10,0.0,0%~100%
600809,山西汾酒,预增,2003-07-10,0.0,50%
600644,乐山电力,减亏,2003-07-09,0.0,50%
000596,古井贡酒,预减,2003-07-09,0.0,-50%
600213,亚星客车,预亏,2003-07-09,0.0,0%
600738,兰州民百,预亏,2003-07-09,0.0,0%
600136,当代明诚,预亏,2003-07-09,0.0,0%
600774,汉商集团,预亏,2003-07-09,0.0,-50%
000150,宜华健康,预盈,2003-07-09,0.0,0%
600303,曙光股份,预增,2003-07-09,0.0,50%
600889,南京化纤,预增,2003-07-09,0.0,50%
600740,山西焦化,预增,2003-07-09,0.0,50%
600116,三峡水利,预减,2003-07-08,0.0,-50%
600816,安信信托,预亏,2003-07-08,0.0139,0%
000818,方大化工,预亏,2003-07-08,0.0,0%
600629,华建集团,预亏,2003-07-08,0.0,0%
600847,万里股份,预亏,2003-07-08,0.0,0%
600615,丰华股份,预亏,2003-07-08,0.0,0%
600681,百川能源,预亏,2003-07-08,0.0,0%
000030,富奥股份,预盈,2003-07-08,0.0,0%
000625,长安汽车,预增,2003-07-05,0.0,0%
000667,美好置业,预增,2003-07-08,0.0,0%
000966,长源电力,预增,2003-07-08,0.0,50%
600551,时代出版,预增,2003-07-08,0.0,50%
600677,航天通信,预减,2003-07-05,0.0,-50%
000953,河池化工,预亏,2003-07-05,0.0,-50%
000033,*ST新都,预亏,2003-07-05,0.0,0%
600240,华业资本,预亏,2003-07-05,0.0,0%
600763,通策医疗,预亏,2003-07-05,0.0,0%
600858,银座股份,预盈,2003-07-05,0.0,0%
600887,伊利股份,预增,2003-07-05,0.0,50%
600396,金山股份,预增,2003-07-05,0.0,50%
600206,有研新材,预亏,2003-07-04,0.0,0%
600856,中天能源,预亏,2003-07-04,0.0,0%
600698,湖南天雁,预盈,2003-07-04,0.0,0%
000662,天夏智慧,预增,2003-07-04,0.0,100%
000980,金马股份,减亏,2003-07-03,0.0,50%
600613,神奇制药,预亏,2003-07-03,0.0,0%
600657,信达地产,预降,2003-07-03,0.0,0%
000885,同力水泥,预盈,2003-07-03,0.0,0%
600753,东方银星,预盈,2003-07-03,0.0,0%
600190,锦州港,预盈,2003-07-03,0.0,0%
000663,永安林业,预增,2003-07-03,0.0,50%
600585,海螺水泥,预增,2003-07-03,0.0,0%~50%
600791,京能置业,预增,2003-07-03,0.0,50%
600741,华域汽车,预减,2003-07-02,0.0,-50%
600838,上海九百,预减,2003-07-02,0.0,-50%
600195,中牧股份,预减,2003-07-02,0.0,-50%
600723,首商股份,预亏,2003-07-02,0.0,0%
000820,神雾节能,预减,2003-07-02,0.0,-50%
000801,四川九洲,预亏,2003-07-02,0.0,0%
