code,name,date,nums,nlast,count,clast,amount,ratio,year,quarter
600887,伊利股份,2003-03-31,4,-32,1060.78,-1242.33,22456.79,0.18,2003,1
600879,航天电子,2003-03-31,1,-5,914.21,-152.72,11756.71,1.15,2003,1
600871,石化油服,2003-03-31,1,-4,129.57,-278.61,610.29,0.05,2003,1
600867,通化东宝,2003-03-31,1,-5,1295.69,-189.03,11479.81,0.95,2003,1
600866,*ST星湖,2003-03-31,1,-7,245.69,-1963.64,2132.55,0.45,2003,1
600863,内蒙华电,2003-03-31,3,-11,2037.41,-292.85,20374.13,0.35,2003,1
600851,海欣股份,2003-03-31,3,-2,3408.02,-93.56,45769.68,4.62,2003,1
600849,上药转换,2003-03-31,1,-15,493.45,-739.33,6242.09,0.26,2003,1
600835,上海机电,2003-03-31,3,-15,2453.37,-672.94,31869.31,3.04,2003,1
600834,申通地铁,2003-03-31,1,-4,119.08,-293.44,1265.79,0.25,2003,1
600832,东方明珠,2003-03-31,2,-17,304.20,-878.60,5299.25,0.10,2003,1
600827,百联股份,2003-03-31,2,-8,1694.52,-813.05,23384.36,1.10,2003,1
600825,新华传媒,2003-03-31,4,-13,651.28,-693.93,8779.29,0.62,2003,1
600820,隧道股份,2003-03-31,1,-11,149.58,-777.16,1069.50,0.05,2003,1
600816,安信信托,2003-03-31,1,0,90.60,-112.14,630.58,0.08,2003,1
600812,华北制药,2003-03-31,5,-19,2749.45,-1534.01,16771.65,1.99,2003,1
600795,国电电力,2003-03-31,4,-15,3783.83,-2825.95,28265.19,0.19,2003,1
600790,轻纺城,2003-03-31,1,-4,133.46,-1000.55,735.36,0.13,2003,1
600785,新华百货,2003-03-31,1,-4,153.89,-139.83,1562.00,0.74,2003,1
600780,通宝能源,2003-03-31,2,-7,1071.80,-164.33,12325.64,0.93,2003,1
600747,大连控股,2003-03-31,1,-10,1144.37,-1461.21,7392.65,1.08,2003,1
600742,一汽富维,2003-03-31,3,-13,647.07,-581.13,8677.21,1.53,2003,1
600741,华域汽车,2003-03-31,1,-19,179.61,-3734.32,1043.56,0.06,2003,1
