code,name,date,count,ratio,year,month
000402,金融街,2010-01-29,8365.63,3.37,2010,1
000425,徐工机械,2010-01-29,74.19,0.09,2010,1
000609,绵石投资,2010-01-29,7400.00,24.82,2010,1
600062,华润双鹤,2010-01-29,233.31,0.41,2010,1
600540,新赛股份,2010-01-29,2391.50,10.27,2010,1
600643,爱建集团,2010-01-29,4145.96,5.05,2010,1
600173,卧龙地产,2010-01-28,15.00,0.04,2010,1
600540,新赛股份,2010-01-28,7971.65,34.23,2010,1
600528,中铁二局,2010-01-27,16640.00,11.40,2010,1
000049,德赛电池,2010-01-26,6546.85,47.85,2010,1
002111,威海广泰,2010-01-26,3133.43,21.76,2010,1
601002,晋亿实业,2010-01-26,43717.00,59.20,2010,1
000586,汇源通信,2010-01-25,496.33,2.57,2010,1
002108,沧州明珠,2010-01-25,4367.75,44.31,2010,1
002206,海利得,2010-01-25,22.50,0.18,2010,1
600227,赤天化,2010-01-25,3058.11,8.29,2010,1
600369,西南证券,2010-01-25,440.23,0.23,2010,1
600466,蓝光发展,2010-01-25,5881.00,33.49,2010,1
600645,中源协和,2010-01-25,6979.03,21.47,2010,1
600721,*ST百花,2010-01-25,1104.44,7.80,2010,1
600737,中粮屯河,2010-01-25,31875.88,31.70,2010,1
600777,新潮能源,2010-01-25,13279.86,21.23,2010,1
000504,*ST生物,2010-01-22,12234.44,39.27,2010,1
600711,盛屯矿业,2010-01-22,3181.46,40.03,2010,1
000153,丰原药业,2010-01-21,1747.54,6.72,2010,1
002299,圣农发展,2010-01-21,819.99,2.00,2010,1
002300,太阳电缆,2010-01-21,679.99,5.08,2010,1
002301,齐心集团,2010-01-21,623.99,5.01,2010,1
600039,四川路桥,2010-01-21,7840.94,25.79,2010,1
000661,长春高新,2010-01-20,2177.72,16.58,2010,1
000718,苏宁环球,2010-01-20,58.69,0.03,2010,1
002018,华信国际,2010-01-20,253.50,1.03,2010,1
600258,首旅酒店,2010-01-20,11604.22,50.15,2010,1
600259,广晟有色,2010-01-20,1192.81,4.78,2010,1
000421,南京公用,2010-01-19,7056.22,20.06,2010,1
000502,绿景控股,2010-01-19,4883.21,26.42,2010,1
000516,国际医学,2010-01-19,72.60,0.19,2010,1
000790,泰合健康,2010-01-19,702.24,3.52,2010,1
600826,兰生股份,2010-01-19,11918.94,42.50,2010,1
002197,证通电子,2010-01-18,1030.50,7.86,2010,1
600749,西藏旅游,2010-01-18,1772.37,10.74,2010,1
600831,广电网络,2010-01-18,3452.80,7.97,2010,1
600582,天地科技,2010-01-15,34998.57,51.90,2010,1
600599,熊猫金控,2010-01-15,5341.61,42.39,2010,1
601888,中国国旅,2010-01-15,4400.00,5.00,2010,1
000552,靖远煤电,2010-01-14,53.00,0.30,2010,1
000859,国风塑业,2010-01-14,1261.44,3.00,2010,1
600122,宏图高科,2010-01-14,4459.80,10.04,2010,1
002105,信隆健康,2010-01-13,13744.00,51.28,2010,1
600997,开滦股份,2010-01-13,5612.00,4.54,2010,1
000628,高新发展,2010-01-12,60.48,0.28,2010,1
000957,中通客车,2010-01-12,2980.85,12.50,2010,1
002106,莱宝高科,2010-01-12,7909.20,23.97,2010,1
002156,通富微电,2010-01-12,271.02,0.78,2010,1
002206,海利得,2010-01-12,800.00,6.40,2010,1
600479,千金药业,2010-01-12,3661.62,16.82,2010,1
600807,天业股份,2010-01-12,54.18,0.34,2010,1
002103,广博股份,2010-01-11,11854.28,54.27,2010,1
002104,恒宝股份,2010-01-11,8812.80,30.00,2010,1
002160,常铝股份,2010-01-11,2550.00,15.00,2010,1
600081,东风科技,2010-01-11,17245.80,55.00,2010,1
600223,鲁商置业,2010-01-11,2392.31,2.39,2010,1
600290,华仪电气,2010-01-11,3000.00,10.95,2010,1
600425,青松建化,2010-01-11,12432.53,33.70,2010,1
600667,太极实业,2010-01-11,5346.91,11.40,2010,1
601628,中国人寿,2010-01-11,1932353.00,68.37,2010,1
000410,沈阳机床,2010-01-08,30.93,0.06,2010,1
600708,光明地产,2010-01-08,12.18,0.03,2010,1
600745,中茵股份,2010-01-08,95.50,0.29,2010,1
600988,赤峰黄金,2010-01-06,1992.76,20.00,2010,1
600644,乐山电力,2010-01-05,8052.83,24.67,2010,1
000521,美菱电器,2010-01-04,7407.40,17.91,2010,1
000665,湖北广电,2010-01-04,553.66,3.12,2010,1
002106,莱宝高科,2010-01-04,8.56,0.03,2010,1
000063,中兴通讯,2010-02-26,70.96,0.04,2010,2
600650,锦江投资,2010-02-26,15742.55,28.54,2010,2
000601,韶能股份,2010-02-25,4400.00,4.75,2010,2
000887,中鼎股份,2010-02-25,4800.00,11.28,2010,2
000999,华润三九,2010-02-25,891.50,0.91,2010,2
002114,罗平锌电,2010-02-24,11230.56,61.09,2010,2
601169,北京银行,2010-02-24,26.06,0.00,2010,2
002115,三维通信,2010-02-22,6313.50,47.08,2010,2
002122,天马股份,2010-02-22,5000.00,8.42,2010,2
002192,融捷股份,2010-02-22,1170.33,9.64,2010,2
002194,武汉凡谷,2010-02-22,202.80,0.36,2010,2
600223,鲁商置业,2010-02-22,885.93,0.89,2010,2
600477,杭萧钢构,2010-02-22,1678.08,5.21,2010,2
600499,科达洁能,2010-02-22,669.50,1.48,2010,2
600549,厦门钨业,2010-02-22,861.25,1.26,2010,2
600592,龙溪股份,2010-02-22,9416.64,31.39,2010,2
