code,name,date,weight
000002,万 科Ａ,2016-08-01,1.56
000503,海虹控股,2016-08-01,0.34
601336,新华保险,2016-08-01,0.39
000338,潍柴动力,2016-08-01,0.24
600011,华能国际,2016-08-01,0.36
600998,九州通,2016-08-01,0.08
002399,海普瑞,2016-08-01,0.07
600600,青岛啤酒,2016-08-01,0.09
601998,中信银行,2016-08-01,0.21
601888,中国国旅,2016-08-01,0.26
601225,陕西煤业,2016-08-01,0.13
600074,保千里,2016-08-01,0.17
601628,中国人寿,2016-08-01,0.4
600036,招商银行,2016-08-01,2.06
600837,海通证券,2016-08-01,1.43
002475,立讯精密,2016-08-01,0.2
600005,武钢股份,2016-08-01,0.13
601333,广深铁路,2016-08-01,0.16
600031,三一重工,2016-08-01,0.23
601179,中国西电,2016-08-01,0.12
600703,三安光电,2016-08-01,0.29
600028,中国石化,2016-08-01,0.59
601601,中国太保,2016-08-01,0.98
601009,南京银行,2016-08-01,0.44
600958,东方证券,2016-08-01,0.5
601318,中国平安,2016-08-01,4.07
600373,中文传媒,2016-08-01,0.14
600585,海螺水泥,2016-08-01,0.37
600018,上港集团,2016-08-01,0.2
600177,雅戈尔,2016-08-01,0.26
600900,长江电力,2016-08-01,1.03
600000,浦发银行,2016-08-01,1.59
600583,海油工程,2016-08-01,0.19
600015,华夏银行,2016-08-01,0.62
600663,陆家嘴,2016-08-01,0.19
601169,北京银行,2016-08-01,1.19
601939,建设银行,2016-08-01,0.46
601390,中国中铁,2016-08-01,0.44
601117,中国化学,2016-08-01,0.13
600016,民生银行,2016-08-01,2.54
600276,恒瑞医药,2016-08-01,0.71
600104,上汽集团,2016-08-01,0.89
600518,康美药业,2016-08-01,0.58
601988,中国银行,2016-08-01,0.82
601166,兴业银行,2016-08-01,2.42
600415,小商品城,2016-08-01,0.2
601328,交通银行,2016-08-01,1.81
600309,万华化学,2016-08-01,0.23
600398,海澜之家,2016-08-01,0.18
600959,江苏有线,2016-08-01,0.09
601857,中国石油,2016-08-01,0.41
600109,国金证券,2016-08-01,0.27
600642,申能股份,2016-08-01,0.16
601006,大秦铁路,2016-08-01,0.43
603885,吉祥航空,2016-08-01,0.05
601111,中国国航,2016-08-01,0.25
601088,中国神华,2016-08-01,0.34
601688,华泰证券,2016-08-01,0.71
601018,宁波港,2016-08-01,0.22
603993,洛阳钼业,2016-08-01,0.18
601818,光大银行,2016-08-01,0.72
600019,宝钢股份,2016-08-01,0.28
601021,春秋航空,2016-08-01,0.14
000793,华闻传媒,2016-08-01,0.23
600023,浙能电力,2016-08-01,0.25
002142,宁波银行,2016-08-01,0.35
002236,大华股份,2016-08-01,0.25
600666,奥瑞德,2016-08-01,0.09
002500,山西证券,2016-08-01,0.18
601600,中国铝业,2016-08-01,0.24
600648,外高桥,2016-08-01,0.08
601633,长城汽车,2016-08-01,0.15
600795,国电电力,2016-08-01,0.41
601872,招商轮船,2016-08-01,0.13
600027,华电国际,2016-08-01,0.15
600816,安信信托,2016-08-01,0.19
601607,上海医药,2016-08-01,0.27
002736,国信证券,2016-08-01,0.46
600999,招商证券,2016-08-01,0.56
600048,保利地产,2016-08-01,0.73
600068,葛洲坝,2016-08-01,0.22
600089,特变电工,2016-08-01,0.27
600340,华夏幸福,2016-08-01,0.26
601555,东吴证券,2016-08-01,0.33
002146,荣盛发展,2016-08-01,0.11
600887,伊利股份,2016-08-01,1.27
002456,欧菲光,2016-08-01,0.26
600008,首创股份,2016-08-01,0.11
600637,东方明珠,2016-08-01,0.35
600578,京能电力,2016-08-01,0.07
600606,绿地控股,2016-08-01,0.04
601398,工商银行,2016-08-01,1.22
600352,浙江龙盛,2016-08-01,0.25
600098,广州发展,2016-08-01,0.07
000826,启迪桑德,2016-08-01,0.18
600893,中航动力,2016-08-01,0.32
600066,宇通客车,2016-08-01,0.35
000999,华润三九,2016-08-01,0.12
002415,海康威视,2016-08-01,0.53
002241,歌尔股份,2016-08-01,0.27
600085,同仁堂,2016-08-01,0.2
300251,光线传媒,2016-08-01,0.11
600038,中直股份,2016-08-01,0.11
600332,白云山,2016-08-01,0.16
600030,中信证券,2016-08-01,1.48
600820,隧道股份,2016-08-01,0.17
600060,海信电器,2016-08-01,0.16
600010,包钢股份,2016-08-01,0.32
601186,中国铁建,2016-08-01,0.35
600037,歌华有线,2016-08-01,0.13
600863,内蒙华电,2016-08-01,0.1
601766,中国中车,2016-08-01,0.95
600873,梅花生物,2016-08-01,0.14
002673,西部证券,2016-08-01,0.39
600886,国投电力,2016-08-01,0.28
601899,紫金矿业,2016-08-01,0.39
600369,西南证券,2016-08-01,0.24
600118,中国卫星,2016-08-01,0.22
601901,方正证券,2016-08-01,0.34
601211,国泰君安,2016-08-01,0.31
600061,国投安信,2016-08-01,0.21
300124,汇川技术,2016-08-01,0.2
600741,华域汽车,2016-08-01,0.24
000858,五 粮 液,2016-08-01,0.77
601098,中南传媒,2016-08-01,0.15
600674,川投能源,2016-08-01,0.24
600021,上海电力,2016-08-01,0.11
600685,中船防务,2016-08-01,0.08
601788,光大证券,2016-08-01,0.23
000898,鞍钢股份,2016-08-01,0.09
000963,华东医药,2016-08-01,0.19
600196,复星医药,2016-08-01,0.28
600705,中航资本,2016-08-01,0.3
601198,东兴证券,2016-08-01,0.26
601985,中国核电,2016-08-01,0.36
601377,兴业证券,2016-08-01,0.42
601800,中国交建,2016-08-01,0.19
000001,平安银行,2016-08-01,0.74
002027,分众传媒,2016-08-01,0.11
000333,美的集团,2016-08-01,1.03
000568,泸州老窖,2016-08-01,0.26
600660,福耀玻璃,2016-08-01,0.26
601727,上海电气,2016-08-01,0.27
601669,中国电建,2016-08-01,0.28
601288,农业银行,2016-08-01,1.39
600875,东方电气,2016-08-01,0.14
600688,上海石化,2016-08-01,0.15
600649,城投控股,2016-08-01,0.25
600485,信威集团,2016-08-01,0.23
600406,国电南瑞,2016-08-01,0.25
600252,中恒集团,2016-08-01,0.14
600221,海南航空,2016-08-01,0.23
600115,东方航空,2016-08-01,0.31
600029,南方航空,2016-08-01,0.34
600022,山东钢铁,2016-08-01,0.05
300104,乐视网,2016-08-01,0.5
300003,乐普医疗,2016-08-01,0.19
002129,中环股份,2016-08-01,0.13
000883,湖北能源,2016-08-01,0.11
000776,广发证券,2016-08-01,0.56
000750,国海证券,2016-08-01,0.17
000709,河钢股份,2016-08-01,0.14
000166,申万宏源,2016-08-01,0.43
600009,上海机场,2016-08-01,0.31
600376,首开股份,2016-08-01,0.13
601928,凤凰传媒,2016-08-01,0.09
600535,天士力,2016-08-01,0.3
002594,比亚迪,2016-08-01,0.37
000738,中航动控,2016-08-01,0.14
002470,金正大,2016-08-01,0.16
002252,上海莱士,2016-08-01,0.24
600804,鹏博士,2016-08-01,0.26
600153,建发股份,2016-08-01,0.22
600704,物产中大,2016-08-01,0.12
600170,上海建工,2016-08-01,0.14
600150,中国船舶,2016-08-01,0.18
601216,君正集团,2016-08-01,0.11
000783,长江证券,2016-08-01,0.4
600690,青岛海尔,2016-08-01,0.38
000630,铜陵有色,2016-08-01,0.2
000686,东北证券,2016-08-01,0.2
601898,中煤能源,2016-08-01,0.12
600188,兖州煤业,2016-08-01,0.05
002739,万达院线,2016-08-01,0.39
600372,中航电子,2016-08-01,0.12
000625,长安汽车,2016-08-01,0.43
000876,新 希 望,2016-08-01,0.2
000623,吉林敖东,2016-08-01,0.21
600271,航天信息,2016-08-01,0.3
000046,泛海控股,2016-08-01,0.18
600383,金地集团,2016-08-01,0.25
000027,深圳能源,2016-08-01,0.09
600317,营口港,2016-08-01,0.08
600582,天地科技,2016-08-01,0.09
600050,中国联通,2016-08-01,0.41
600783,鲁信创投,2016-08-01,0.07
000651,格力电器,2016-08-01,0.99
600519,贵州茅台,2016-08-01,1.8
000768,中航飞机,2016-08-01,0.27
002422,科伦药业,2016-08-01,0.15
600362,江西铜业,2016-08-01,0.14
601668,中国建筑,2016-08-01,1.01
