code,xcode,name,ipo_date,issue_date,amount,markets,price,pe,limit,funds,ballot
603238,732238,诺邦股份,2017-02-10,,3000,1200,0.0,0.0,1.2,3.9930000000000003,0.0
603345,732345,安井食品,2017-02-10,,5401,2160,0.0,0.0,2.1,6.006,0.0
300611,300611,美力科技,2017-02-09,,2237,887,0.0,0.0,0.85,2.678,0.0
600939,730939,重庆建工,2017-02-09,,18150,5440,3.12,22.92,5.4,5.662999999999999,0.0
603817,732817,海峡环保,2017-02-08,,11250,3350,0.0,0.0,3.3,4.545,0.0
002849,002849,威星智能,2017-02-07,,2167,816,0.0,0.0,0.8,2.617,0.0
603603,732603,博天环境,2017-02-07,,4001,1200,0.0,0.0,1.2,2.697,0.0
603955,732955,大千生态,2017-02-07,,2175,775,0.0,0.0,0.7,3.319,0.0
300615,300615,欣天科技,2017-02-03,,2000,2000,14.37,22.98,2.0,2.8739999999999997,0.0
601212,780212,白银有色,2017-02-03,,69800,20940,1.78,556.25,20.9,12.424000000000001,0.0
300612,300612,宣亚国际,2017-02-03,,1800,1800,16.14,22.98,1.8,2.905,0.0
300609,300609,汇纳科技,2017-01-26,,2500,1000,8.12,22.97,1.0,2.03,0.0
002848,002848,高斯贝尔,2017-01-26,,4180,1672,6.31,22.98,1.65,2.638,0.0
300610,300610,晨化股份,2017-01-25,,2500,2250,10.57,22.98,1.0,2.6430000000000002,0.03
603330,732330,上海天洋,2017-01-25,,1500,1500,18.19,22.99,1.5,2.728,0.01
603615,732615,茶花股份,2017-01-25,,6000,5400,8.37,22.98,2.4,5.022,0.04
603839,732839,安正时尚,2017-01-24,,7126,6413,16.78,22.98,2.8,11.957,0.05
300608,300608,思特奇,2017-01-24,,1686,1686,16.16,22.98,1.65,2.7239999999999998,0.01
603208,732208,欧派股份,2017-01-24,,2021,1819,24.83,22.99,0.7,5.018,0.03
300607,300607,拓斯达,2017-01-23,,1812,1812,18.74,22.98,1.8,3.3960000000000004,0.01
603626,732626,科森科技,2017-01-23,,5267,4740,18.85,20.75,2.1,9.927999999999999,0.04
603040,732040,新坐标,2017-01-23,,1500,1500,16.44,22.99,1.5,2.4659999999999997,0.01
603637,732637,镇海股份,2017-01-20,,2558,2302,13.86,22.99,1.0,3.545,0.03
300605,300605,恒锋信息,2017-01-20,,2100,1890,9.4,22.97,0.8,1.974,0.03
300601,300601,康泰生物,2017-01-20,,4200,3780,3.29,22.94,1.25,1.382,0.04
002847,002847,盐津铺子,2017-01-19,,3100,2790,9.14,22.99,1.2,2.833,0.03
002846,002846,英联股份,2017-01-19,,3000,2700,8.33,22.96,1.2,2.499,0.03
603177,732177,德创环保,2017-01-19,,5050,4545,3.6,22.97,2.0,1.818,0.04
603677,732677,奇精机械,2017-01-18,,2000,2000,21.13,22.99,2.0,4.226,0.02
603360,732360,百傲化学,2017-01-18,,3334,3001,9.24,22.92,1.3,3.082,0.03
300606,300606,金太阳,2017-01-18,,2230,2007,8.36,22.97,0.8,1.864,0.03
300602,300602,飞荣达,2017-01-17,2017-01-26,2500,2250,14.82,15.1,1.0,3.705,0.03
603881,732881,数据港,2017-01-17,,5265,4739,7.8,22.99,2.1,4.107,0.04
300603,300603,立昂技术,2017-01-17,2017-01-26,2570,2313,4.55,22.99,1.0,1.169,0.03
603089,732089,正裕工业,2017-01-16,2017-01-26,2667,2400,11.63,20.11,0.9,3.2110000000000003,0.03
300600,300600,瑞特股份,2017-01-16,2017-01-25,2500,2250,13.73,17.35,1.0,3.4330000000000003,0.03
300578,300578,会畅通讯,2017-01-16,2017-01-25,1800,1800,9.7,22.97,1.8,1.746,0.01
002845,002845,同兴达,2017-01-13,2017-01-25,2400,2160,15.99,22.99,0.95,3.838,0.02
603358,732358,华达科技,2017-01-13,2017-01-25,4000,3600,31.18,19.83,1.6,12.472000000000001,0.03
603966,732966,法兰泰克,2017-01-13,2017-01-25,4000,3600,7.32,22.88,1.6,2.928,0.03
300597,300597,吉大通信,2017-01-12,2017-01-23,6000,5400,5.53,22.99,2.4,3.318,0.04
002839,002839,张家港行,2017-01-12,2017-01-24,18076,16268,4.37,14.64,5.4,7.899,0.07
603429,732429,集友股份,2017-01-12,2017-01-24,1700,1700,15.0,22.97,1.7,2.55,0.01
300599,300599,雄塑科技,2017-01-11,2017-01-23,7600,6840,7.04,22.98,3.0,5.35,0.04
300598,300598,诚迈科技,2017-01-11,2017-01-20,2000,2000,8.73,22.99,2.0,1.746,0.02
601881,780881,中国银河,2017-01-11,2017-01-23,60000,54000,6.81,7.02,18.0,40.86,0.21
002843,002843,泰嘉股份,2017-01-10,2017-01-20,3500,3150,6.08,22.96,1.4,2.128,0.03
603638,732638,艾迪精密,2017-01-10,2017-01-20,4400,3960,6.58,22.98,1.7,2.895,0.03
603037,732037,凯众股份,2017-01-10,2017-01-20,2000,2000,16.01,22.98,2.0,3.202,0.02
603337,732337,杰克股份,2017-01-09,2017-01-19,5167,4650,17.72,22.99,2.0,9.156,0.04
002841,002841,视源股份,2017-01-09,2017-01-19,4050,3645,19.06,22.99,1.15,7.718999999999999,0.03
300592,300592,华凯创意,2017-01-09,2017-01-20,3060,2754,5.21,22.95,1.2,1.5959999999999999,0.03
300596,300596,利安隆,2017-01-06,2017-01-19,3000,2700,11.29,19.17,1.2,3.387,0.03
300595,300595,欧普康视,2017-01-06,2017-01-17,1700,1700,23.81,20.36,1.7,4.048,0.01
601858,780858,中国科传,2017-01-06,2017-01-18,13050,11745,6.84,22.97,3.9,8.926,0.07
603668,732668,天马科技,2017-01-05,2017-01-17,5300,4770,6.21,22.97,2.1,3.2910000000000004,0.04
002842,002842,翔鹭钨业,2017-01-05,2017-01-19,2500,2250,11.42,22.98,1.0,2.855,0.02
603165,732165,荣晟环保,2017-01-05,2017-01-17,3168,2851,10.44,17.13,1.2,3.307,0.03
603038,732038,华立股份,2017-01-04,2017-01-16,1670,1670,23.26,22.98,1.6,3.884,0.01
300589,300589,江龙船艇,2017-01-04,2017-01-13,2167,1950,6.34,22.98,0.85,1.374,0.02
300593,300593,新雷能,2017-01-04,2017-01-13,2889,2600,6.53,22.99,1.15,1.8869999999999998,0.03
603039,732039,泛微网络,2017-01-03,2017-01-13,1667,1667,14.9,22.99,1.6,2.484,0.01
603690,732690,至纯科技,2017-01-03,2017-01-13,5200,4680,1.73,22.88,2.0,0.9,0.04
002824,002824,和胜股份,2017-01-03,2017-01-12,3000,2700,9.8,22.98,1.2,2.94,0.02
603639,732639,海利尔,2016-12-30,2017-01-12,3000,2700,24.95,22.95,1.2,7.485,0.03
300580,300580,贝斯特,2016-12-30,2017-01-11,5000,4500,9.59,22.98,1.5,4.795,0.04
300584,300584,海辰药业,2016-12-30,2017-01-12,2000,2000,11.11,22.99,2.0,2.222,0.02
300590,300590,移为通信,2016-12-29,2017-01-11,2000,2000,28.48,22.99,2.0,5.696000000000001,0.02
603628,732628,清源股份,2016-12-29,2017-01-12,6845,6161,5.57,22.99,2.7,3.813,0.04
603579,732579,荣泰健康,2016-12-29,2017-01-11,1750,1750,44.66,22.89,1.7,7.816,0.02
603689,732689,皖天然气,2016-12-28,2017-01-10,8400,7560,7.87,22.98,3.3,6.611000000000001,0.05
603266,732266,天龙股份,2016-12-28,2017-01-10,2500,2250,14.63,22.99,1.0,3.658,0.03
300591,300591,万里马,2016-12-28,2017-01-10,6000,5400,3.07,22.98,2.4,1.8419999999999999,0.04
002840,002840,华统股份,2016-12-27,2017-01-10,4467,4020,6.55,22.97,1.75,2.926,0.03
603877,732877,太平鸟,2016-12-27,2017-01-09,5500,4950,21.3,22.97,1.6,11.715,0.04
300583,300583,赛托生物,2016-12-27,2017-01-06,2667,2400,40.29,22.99,0.95,10.744000000000002,0.03
002838,002838,道恩股份,2016-12-26,2017-01-06,2100,1890,15.28,22.99,0.8,3.2089999999999996,0.02
300587,300587,天铁股份,2016-12-26,2017-01-05,2600,2340,14.11,22.98,1.0,3.6689999999999996,0.03
603228,732228,景旺电子,2016-12-26,2017-01-06,4800,4320,23.16,22.97,1.4,11.117,0.04
300588,300588,熙菱信息,2016-12-23,2017-01-05,2500,2250,4.94,22.98,1.0,1.235,0.03
300588,300588,熙菱信息,2016-12-23,2017-01-05,2500,2250,4.94,22.98,1.0,1.235,0.03
603035,732035,常熟汽饰,2016-12-23,2017-01-05,7000,6300,10.44,15.09,2.8,7.31,0.04
603444,732444,吉比特,2016-12-22,2017-01-04,1780,1780,54.0,22.96,1.7,9.612,0.02
300586,300586,美联新材,2016-12-22,2017-01-04,2400,2160,9.3,22.99,0.95,2.2319999999999998,0.03
603186,732186,华正新材,2016-12-22,2017-01-03,3235,2912,5.37,22.97,1.2,1.7369999999999999,0.03
603239,732239,浙江仙通,2016-12-21,2016-12-30,2256,2030,21.84,22.99,0.8,4.927,0.03
002836,002836,新宏泽,2016-12-21,2016-12-29,2000,2000,8.09,17.74,2.0,1.618,0.01
300585,300585,奥联电子,2016-12-20,2016-12-29,2000,2000,9.86,20.74,2.0,1.972,0.02
603929,732929,亚翔集成,2016-12-20,2016-12-30,5336,4802,4.94,13.35,2.1,2.641,0.04
603218,732218,日月股份,2016-12-19,2016-12-28,4100,3690,23.9,22.99,1.2,9.799,0.04
002833,002833,弘亚数控,2016-12-19,2016-12-28,3336,3002,10.11,15.56,1.3,3.3760000000000003,0.03
002837,002837,英维克,2016-12-19,2016-12-29,2000,2000,18.0,22.22,2.0,3.6,0.01
601375,780375,中原证券,2016-12-16,2017-01-03,70000,63000,4.0,11.23,21.0,28.0,0.24
300582,300582,英飞特,2016-12-16,2016-12-28,3300,2970,14.85,22.98,1.3,4.901,0.03
603886,732886,元祖股份,2016-12-15,2016-12-28,6000,5400,10.16,22.98,2.4,6.096,0.04
002835,002835,同为股份,2016-12-15,2016-12-28,2700,2430,12.34,22.98,1.05,3.332,0.02
002832,002832,比音勒芬,2016-12-14,2016-12-23,2667,2400,26.17,22.99,1.05,6.98,0.02
603298,732298,杭叉集团,2016-12-14,2016-12-27,8666,7799,12.67,22.97,2.5,10.98,0.06
600996,730996,贵广网络,2016-12-13,2016-12-26,21000,18900,8.92,22.99,6.3,18.732,0.1
603058,732058,永吉股份,2016-12-12,2016-12-23,4216,3794,4.76,22.96,1.2,2.4459999999999997,0.04
300579,300579,数字认证,2016-12-12,2016-12-23,2000,2000,13.32,22.99,2.0,2.6639999999999997,0.02
603577,732577,汇金通,2016-12-09,2016-12-22,2918,2626,11.1,22.98,1.1,3.239,0.03
300581,300581,晨曦航空,2016-12-09,2016-12-20,1130,1130,24.23,22.99,1.1,2.738,0.01
603416,732416,信捷电气,2016-12-08,2016-12-21,2510,2259,17.85,22.98,1.0,4.48,0.03
300577,300577,开润股份,2016-12-08,2016-12-21,1667,1667,19.58,22.99,1.65,3.264,0.01
300576,300576,容大感光,2016-12-07,2016-12-20,2000,2000,8.24,22.99,2.0,1.6480000000000001,0.02
603823,732823,百合花,2016-12-07,2016-12-20,5625,4050,10.6,22.08,2.2,4.84,0.03
603878,732878,武进不锈,2016-12-06,2016-12-19,5050,4545,14.87,22.98,2.0,8.912,0.04
300575,300575,中旗股份,2016-12-06,2016-12-20,1835,1835,22.29,18.12,1.8,4.09,0.01
002831,002831,裕同科技,2016-12-05,2016-12-16,4001,3601,36.77,22.99,1.2,14.712,0.03
603389,732389,亚振家居,2016-12-05,2016-12-15,5475,4928,7.79,22.97,2.1,4.265,0.04
002829,002829,星网宇达,2016-12-02,2016-12-13,1900,1900,17.65,22.99,1.9,3.353,0.01
603585,732585,苏利股份,2016-12-02,2016-12-14,2500,2250,26.79,22.99,1.0,6.697,0.03
002830,002830,名雕股份,2016-12-01,2016-12-13,1667,1667,16.53,22.96,1.65,2.7560000000000002,0.01
603098,732098,森特股份,2016-12-01,2016-12-16,6251,5626,9.18,22.98,1.8,5.7379999999999995,0.05
300571,300571,平治信息,2016-11-30,2016-12-13,1000,1000,12.04,22.97,1.0,1.204,0.01
603708,732708,家家悦,2016-11-30,2016-12-13,9000,8100,13.64,21.65,3.6,12.277999999999999,0.05
300573,300573,兴齐眼药,2016-11-29,2016-12-08,2000,2000,5.16,22.97,2.0,1.033,0.02
