code,name,concept
000001,平安银行,['融资融券' '基金重仓' '社保重仓' '券商重仓' '深圳本地' '保险重仓' '本月解禁' '外资背景']
000002,万 科Ａ,['前海概念' '融资融券' 'QFII重仓' '股权激励' '基金重仓' '深圳本地' '保障房' '含H股' '保险重仓']
000004,国农科技,['深圳本地']
000005,世纪星源,['前海概念' '固废处理' '深圳本地' '污水处理' '充电桩' '空气治理' '外资背景']
000006,深振业Ａ,['前海概念' '深圳本地' '粤港澳']
000007,全新好,['涉矿概念' '深圳本地' '业绩预降' '稀缺资源']
000008,神州高铁,['业绩预升' '深圳本地' '新三板' '铁路基建']
000009,中国宝安,"['前海概念' '融资融券' 'QFII重仓' '土地流转' '股权激励' '循环经济' '锂电池' '深圳本地' '新三板' '特斯拉' '石墨烯'
 '分拆上市' '低碳经济']"
000010,美丽生态,['未股改' '装饰园林' '股期概念' '深圳本地' '金融参股']
000011,深物业A,['前海概念' '业绩预升' '深圳本地' '粤港澳' '含B股']
000012,南 玻Ａ,"['前海概念' '太阳能' '融资融券' '出口退税' '新能源' '多晶硅' '触摸屏' '深圳本地' '保障房' '含B股' '建筑节能'
 '苹果概念' '低碳经济']"
000014,沙河股份,['前海概念' '广东自贸' '深圳本地' '粤港澳']
000016,深康佳Ａ,['前海概念' '业绩预升' '深圳本地' '含B股']
000017,深中华A,['未股改' '深圳本地' '含B股']
000018,神州长城,['深圳本地' '含B股']
000019,深深宝Ａ,['深圳本地' '含B股']
000020,深华发Ａ,['前海概念' '深圳本地' '粤港澳' '含B股' '业绩预降']
000021,深科技,['融资融券' '参股金融' '深圳本地' '云计算' '智能电网' '金融参股' '分拆上市']
000022,深赤湾Ａ,['广东自贸' '海上丝路' '深圳本地' '含B股']
000023,深天地Ａ,['前海概念' '深圳本地' '粤港澳']
000025,特 力Ａ,['前海概念' '深圳本地' '含B股']
000026,飞亚达Ａ,['军工航天' '深圳本地' '含B股' '奢侈品']
000027,深圳能源,"['融资融券' '风能概念' '固废处理' '节能环保' '循环经济' '参股金融' '创投概念' '深圳本地' '整体上市' '新三板' '风能'
 '金融参股']"
000028,国药一致,['基金重仓' '抗癌' '深圳本地' '含B股']
000029,深深房Ａ,['深圳本地' '粤港澳' '含B股' '业绩预降']
000030,富奥股份,['参股金融' '汽车电子' '深圳本地' '含B股' '特斯拉']
000031,中粮地产,['前海概念' '参股金融' '业绩预升' '股期概念' '深圳本地' '保障房' '整体上市' '金融参股']
000032,深桑达Ａ,['前海概念' '重组概念' '电子支付' '深圳本地' '绿色照明']
000034,神州数码,['深圳本地']
000035,中国天楹,['重组概念' '深圳本地']
000036,华联控股,['前海概念' '参股金融' '深圳本地' '粤港澳' '业绩预降']
000037,*ST南电A,['深圳本地' '含B股' 'ST板块']
000038,深大通,['深圳本地']
000039,中集集团,"['前海概念' '融资融券' '广东自贸' '股权激励' '参股金融' '海工装备' '海水淡化' '粤港澳' '含H股' '保险重仓' '金融参股'
 '分拆上市']"
000040,东旭蓝天,['太阳能' '深圳本地' '分拆上市']
000042,中洲控股,['前海概念' '深圳本地' '粤港澳']
000043,中航地产,['深圳本地']
000045,深纺织Ａ,['深圳本地' '含B股']
000046,泛海控股,['前海概念' '融资融券' '信托重仓' '业绩预升' '深圳本地' '整体上市']
000048,康达尔,['土地流转' '业绩预升' '深圳本地' '猪肉']
000049,德赛电池,['信托重仓' '新能源' '锂电池' '深圳本地' '特斯拉' '苹果概念']
000050,深天马Ａ,['军工航天' '触摸屏' '业绩预升' '深圳本地' '苹果概念']
000055,方大集团,['太阳能' '土地流转' '装饰园林' '新能源' '业绩预升' '深圳本地' '粤港澳' '绿色照明' '含B股' '建筑节能']
000056,皇庭国际,['深圳本地' '含B股']
000058,深 赛 格,['重组概念' '金融改革' '深圳本地' '智能交通' '含B股' '卫星导航']
000059,华锦股份,['融资融券' '油气改革' '军工航天' '摘帽概念' '振兴沈阳']
000060,中金岭南,['融资融券' '参股金融' '股期概念' '深圳本地' '金融参股' '稀缺资源']
000061,农 产 品,['融资融券' '金融改革' '食品安全' '深圳本地' '业绩预降']
000062,深圳华强,['互联金融' '业绩预升' '深圳本地' '粤港澳' '新三板' '分拆上市']
000063,中兴通讯,"['4G概念' '融资融券' '智能穿戴' '信托重仓' '股权激励' '基金重仓' 'IPV6概念' '深圳本地' '含H股' '新三板'
 '宽带提速' '保险重仓' '云计算' '金融参股' '三网融合' '分拆上市']"
000065,北方国际,['重组概念' '军工航天' '深圳本地' '铁路基建']
000066,长城电脑,['太阳能' '深圳本地' '云计算']
000068,华控赛格,['深圳本地' '摘帽概念']
000069,华侨城Ａ,['前海概念' '融资融券' '基金重仓' '社保重仓' '业绩预升' '深圳本地' '整体上市']
000070,特发信息,['军工航天' '业绩预升' '深圳本地' '宽带提速' '云计算']
