date,open,close,high,low,volume,code,ret_0_1_d,ret_0_5_d,ret_0_21_d,ret_0_62_d,ret_0_123_d,ret_0_246_d,ma5,ma21,ma62,ma123,ma246
2005-04-18,2.2230000000000003,2.306,2.484,2.2230000000000003,93302.12,002041,,,,,,,,,,,
2005-04-19,2.372,2.536,2.536,2.344,49977.48,002041,0.09974,,,,,,,,,,
2005-04-20,2.507,2.547,2.584,2.469,30793.01,002041,0.00434,,,,,,2.463,,,,
2005-04-21,2.525,2.541,2.575,2.492,17724.68,002041,-0.00236,,,,,,2.4825,,,,
2005-04-22,2.536,2.411,2.549,2.31,27532.31,002041,-0.051160000000000004,,,,,,2.4682,,,,
2005-04-25,2.382,2.216,2.382,2.175,27450.64,002041,-0.08088,-0.03903,,,,,2.4502,,,,
2005-04-26,2.218,2.3280000000000003,2.353,2.185,21344.48,002041,0.050539999999999995,-0.08202000000000001,,,,,2.4086,,,,
2005-04-27,2.3080000000000003,2.228,2.309,2.228,9761.4,002041,-0.042960000000000005,-0.12525,,,,,2.3448,,,,
2005-04-28,2.204,2.272,2.323,2.199,10582.98,002041,0.01975,-0.10586,,,,,2.291,,,,
2005-04-29,2.458,2.352,2.459,2.342,26496.59,002041,0.035210000000000005,-0.02447,,,,,2.2792,,,,
2005-05-09,2.352,2.119,2.353,2.119,16051.38,002041,-0.09906000000000001,-0.043769999999999996,,,,,2.2598,2.35055,,,
2005-05-10,2.102,2.063,2.102,1.975,12087.39,002041,-0.026430000000000002,-0.11383,,,,,2.2068,2.32658,,,
2005-05-11,2.035,1.995,2.061,1.977,8204.2,002041,-0.03296,-0.10457999999999999,,,,,2.1602,2.30108,,,
2005-05-12,1.991,2.001,2.082,1.987,8113.83,002041,0.00301,-0.11928,,,,,2.106,2.27964,,,
2005-05-13,2.068,2.017,2.068,1.985,4707.75,002041,0.008,-0.14243,,,,,2.039,2.26213,,,
2005-05-16,2.013,1.861,2.013,1.832,13085.05,002041,-0.07733999999999999,-0.12176,,,,,1.9874,2.23706,,,
2005-05-17,1.842,1.899,1.924,1.835,7570.89,002041,0.020419999999999997,-0.0795,,,,,1.9546,2.21718,,,
2005-05-18,1.891,1.966,1.967,1.889,7875.14,002041,0.03528,-0.01454,,,,,1.9488,2.20322,,,
2005-05-19,1.959,2.064,2.108,1.931,11798.62,002041,0.04985,0.03148,,,,,1.9614,2.1958900000000003,,,
2005-05-20,2.059,2.033,2.088,2.02,7129.62,002041,-0.015019999999999999,0.00793,,,,,1.9646,2.18775,,,
2005-05-23,2.006,2.023,2.059,1.956,5321.61,002041,-0.00492,0.08705,,,,,1.9969999999999999,2.1799,,,
2005-05-24,2.014,2.039,2.062,1.988,3409.73,002041,0.007909999999999999,0.07372000000000001,-0.11578,,,,2.025,2.16719,,,
2005-05-25,2.039,1.987,2.051,1.986,2620.97,002041,-0.0255,0.01068,-0.21648,,,,2.0292,2.14105,,,
2005-05-26,1.958,1.909,1.995,1.898,5044.86,002041,-0.03926,-0.0751,-0.25049,,,,1.9982,2.1106700000000003,,,
2005-05-27,1.898,1.895,1.958,1.885,3069.67,002041,-0.00733,-0.06788,-0.25423,,,,1.9706,2.0799,,,
2005-05-30,1.871,1.937,1.955,1.871,1950.8,002041,0.02216,-0.04251,-0.1966,,,,1.9534,2.05733,,,
2005-05-31,1.946,1.924,1.963,1.919,2395.81,002041,-0.00671,-0.0564,-0.13177,,,,1.9304,2.04343,,,
2005-06-01,1.911,1.863,1.937,1.851,3890.31,002041,-0.0317,-0.06241,-0.19974,,,,1.9056,2.02129,,,
2005-06-02,1.85,1.736,1.861,1.703,8579.98,002041,-0.06817000000000001,-0.09062,-0.22083000000000003,,,,1.871,1.9978599999999997,,,
2005-06-03,1.726,1.7180000000000002,1.774,1.6880000000000002,4012.24,002041,-0.01037,-0.0934,-0.24384,,,,1.8356,1.97148,,,
2005-06-06,1.716,1.813,1.823,1.716,5617.73,002041,0.0553,-0.06402000000000001,-0.22916999999999998,,,,1.8108,1.9458099999999998,2.0838400000000004,,
2005-06-07,1.832,1.797,1.869,1.7919999999999998,5944.17,002041,-0.00883,-0.06601,-0.15195999999999998,,,,1.7854,1.93048,2.07488,,
2005-06-08,1.7919999999999998,1.975,1.976,1.7919999999999998,11388.86,002041,0.09905,0.06012000000000001,-0.042660000000000003,,,,1.8078,1.92629,2.07185,,
2005-06-09,1.939,2.026,2.071,1.938,16081.17,002041,0.02582,0.16705,0.01554,,,,1.8658,1.92776,2.0705,,
2005-06-10,2.025,1.95,2.039,1.929,7203.26,002041,-0.03751,0.13504000000000002,-0.025490000000000002,,,,1.9122,1.92533,2.0670599999999997,,
2005-06-13,1.975,1.914,1.975,1.871,4954.03,002041,-0.01846,0.05571,-0.05107,,,,1.9324,1.9204299999999999,2.06281,,
2005-06-14,1.919,1.871,1.938,1.87,4162.95,002041,-0.02247,0.04118,0.005370000000000001,,,,1.9472,1.9209,2.05762,,
2005-06-15,1.859,1.814,1.859,1.795,4582.33,002041,-0.03046,-0.08152000000000001,-0.04476,,,,1.915,1.9168599999999998,2.0512099999999998,,
2005-06-16,1.832,1.882,1.89,1.81,4364.0,002041,0.037489999999999996,-0.07107999999999999,-0.042730000000000004,,,,1.8862,1.9128599999999998,2.04687,,
2005-06-17,1.904,1.818,1.905,1.814,4125.5,002041,-0.034010000000000006,-0.06769,-0.11919,,,,1.8598,1.90114,2.04115,,
2005-06-20,1.83,2.0,2.0,1.83,6459.0,002041,0.10011,0.04493,-0.01623,,,,1.8769999999999998,1.89957,2.04015,,
2005-06-21,2.102,2.117,2.165,2.0540000000000003,30051.14,002041,0.0585,0.13147999999999999,0.04647,,,,1.9262,1.90405,2.04198,,
2005-06-22,2.065,2.083,2.1180000000000003,2.0540000000000003,11476.13,002041,-0.016059999999999998,0.14829,0.021580000000000002,,,,1.98,1.9061400000000002,2.04293,,
2005-06-23,2.073,2.117,2.224,2.073,19236.93,002041,0.016319999999999998,0.12487000000000001,0.06543,,,,2.0269999999999997,1.9123299999999999,2.04461,,
2005-06-24,2.116,2.095,2.136,2.052,18224.67,002041,-0.01039,0.15237,0.09742999999999999,,,,2.0824,1.9211900000000002,2.04573,,
2005-06-27,2.117,2.228,2.276,2.102,22655.32,002041,0.06348,0.114,0.17573,,,,2.128,1.93705,2.0497,,
2005-06-28,2.189,2.15,2.195,2.141,10131.73,002041,-0.03501,0.015590000000000001,0.10995999999999999,,,,2.1346,1.9471900000000002,2.05183,,
2005-06-29,2.133,2.076,2.189,2.066,10410.28,002041,-0.03442,-0.00336,0.079,,,,2.1332,1.95443,2.05233,,
2005-07-01,2.004,1.982,2.02,1.972,7950.05,002041,-0.04528,-0.06377000000000001,0.06387999999999999,,,,2.1062,1.9601,2.0509,,
2005-07-04,1.979,1.997,1.997,1.91,4329.05,002041,0.00757,-0.04678,0.15035,,,,2.0866,1.97252,2.04982,,
2005-07-05,1.985,1.967,2.021,1.929,4012.09,002041,-0.015019999999999999,-0.11715,0.14494,,,,2.0344,1.98438,2.0482,,
2005-07-06,1.965,1.943,2.011,1.929,3362.08,002041,-0.0122,-0.09627999999999999,0.0717,,,,1.993,1.9905700000000002,2.04617,,
2005-07-07,1.937,1.962,1.977,1.931,2120.59,002041,0.00978,-0.05491,0.09182,,,,1.9702,1.99843,2.04458,,
2005-07-08,1.969,1.914,1.969,1.881,3335.33,002041,-0.02446,-0.03431,-0.030889999999999997,,,,1.9566,1.9955200000000002,2.04217,,
2005-07-11,1.924,1.919,1.999,1.908,4672.91,002041,0.0026100000000000003,-0.039060000000000004,-0.05281,,,,1.9409999999999998,1.99043,2.03993,,
2005-07-12,1.918,2.013,2.042,1.9,5417.98,002041,0.04898,0.02339,0.032310000000000005,,,,1.9502,1.99343,2.03945,,
2005-07-13,2.004,1.958,2.006,1.955,4829.44,002041,-0.02732,0.00772,0.02299,,,,1.9532,1.9955200000000002,2.03802,,
2005-07-14,1.959,2.006,2.027,1.958,7355.95,002041,0.02451,0.022430000000000002,0.07215,,,,1.962,2.00195,2.03747,,
2005-07-15,2.015,2.048,2.057,1.992,8994.76,002041,0.02094,0.07001,0.129,,,,1.9888,2.0131,2.03764,,
2005-07-18,2.048,2.033,2.048,2.007,4400.6,002041,-0.00732,0.059410000000000004,0.08023,,,,2.0116,2.02029,2.03757,,
2005-07-19,2.03,1.998,2.03,1.987,4866.25,002041,-0.01722,-0.00745,0.09901,,,,2.0086,2.02886,2.0369200000000003,,
2005-07-20,1.977,2.014,2.02,1.965,9605.46,002041,0.00801,0.0286,0.006999999999999999,,,,2.0198,2.02952,2.03655,2.03655,
2005-07-21,2.004,1.94,2.008,1.932,6405.29,002041,-0.036739999999999995,-0.0329,-0.08361,-0.15872,,,2.0066,2.0211,2.03065,2.0350200000000003,
2005-07-22,1.929,1.966,1.997,1.909,7579.92,002041,0.0134,-0.04004,-0.056170000000000005,-0.22476,,,1.9902,2.01552,2.02145,2.0339400000000003,
2005-07-25,1.953,1.91,1.972,1.904,7269.07,002041,-0.028480000000000002,-0.0605,-0.09777999999999999,-0.2501,,,1.9656,2.0056700000000003,2.01118,2.03203,
2005-07-26,1.893,1.909,1.945,1.893,8842.67,002041,-0.0005200000000000001,-0.044539999999999996,-0.08878,-0.24871999999999997,,,1.9478,1.9968099999999998,2.0009799999999998,2.03017,
2005-07-27,1.909,2.1,2.1,1.909,16619.52,002041,0.10005,0.0427,-0.05745,-0.12899000000000002,,,1.965,1.9907099999999998,1.99597,2.0312099999999997,
2005-07-28,2.14,2.072,2.16,2.057,16039.19,002041,-0.013330000000000002,0.06804,-0.03628,-0.06498,,,1.9914,1.9869999999999999,1.99365,2.0318099999999997,
2005-07-29,2.075,2.115,2.148,2.055,11913.95,002041,0.02075,0.07579,0.01879,-0.09149,,,2.0212,1.9888599999999999,1.9902099999999998,2.03301,
2005-08-01,2.088,2.147,2.165,2.088,8851.33,002041,0.015130000000000001,0.12408,0.08325,-0.03636,,,2.0686,1.9967099999999998,1.9889,2.03464,
2005-08-02,2.1630000000000003,2.121,2.1630000000000003,2.093,7767.01,002041,-0.01211,0.11105,0.06209,-0.06646,,,2.1109999999999998,2.0026200000000003,1.9864700000000002,2.03586,
2005-08-03,2.121,2.133,2.1790000000000003,2.108,9902.34,002041,0.00566,0.01571,0.08438999999999999,-0.09311,,,2.1176,2.01052,1.9829400000000001,2.03721,
2005-08-04,2.186,2.157,2.206,2.127,8096.74,002041,0.01125,0.04102,0.11014000000000002,0.01793,,,2.1346,2.02071,1.98355,2.03885,
2005-08-05,2.157,2.258,2.295,2.157,16665.49,002041,0.04682,0.06761,0.15087,0.09452,,,2.1632,2.03481,1.98669,2.04181,
2005-08-08,2.294,2.266,2.324,2.239,12937.83,002041,0.0035399999999999997,0.05542999999999999,0.18391,0.13584000000000002,,,2.187,2.05157,1.9910599999999998,2.0448,
2005-08-09,2.261,2.2880000000000003,2.289,2.218,9501.86,002041,0.00971,0.07874,0.19229000000000002,0.14343,,,2.2204,2.06914,1.9956900000000002,2.048,
2005-08-10,2.2840000000000003,2.295,2.3,2.255,7848.58,002041,0.0030600000000000002,0.07595,0.14009000000000002,0.13783,,,2.2528,2.08257,2.00018,2.0512099999999998,
2005-08-11,2.305,2.358,2.448,2.285,12797.5,002041,0.02745,0.09318,0.20429,0.26705999999999996,,,2.293,2.10162,2.0081900000000004,2.05514,
2005-08-12,2.353,2.326,2.416,2.301,9778.97,002041,-0.013569999999999999,0.030119999999999997,0.15952,0.22486,,,2.3066,2.11686,2.0150799999999998,2.05857,
2005-08-15,2.309,2.456,2.464,2.309,13279.77,002041,0.055889999999999995,0.08385,0.19922,0.24924000000000002,,,2.3446,2.1362900000000002,2.02298,2.06354,
2005-08-16,2.459,2.407,2.474,2.373,10133.56,002041,-0.01995,0.05201,0.18395999999999998,0.16618,,,2.3684,2.1541,2.02852,2.06778,
