date,open,close,high,low,volume,code,ret_0_1_d,ret_0_5_d,ret_0_21_d,ret_0_62_d,ret_0_123_d,ret_0_246_d,ma5,ma21,ma62,ma123,ma246
1990-12-19,113.1,113.1,113.1,113.1,2650.0,sh000001,,,,,,,,,,,
1990-12-20,113.1,113.5,113.5,112.85,1990.0,sh000001,0.00354,,,,,,,,,,
1990-12-21,113.5,113.5,113.5,113.4,1190.0,sh000001,0.0,,,,,,113.36667,,,,
1990-12-24,113.5,114.0,114.0,113.3,8070.0,sh000001,0.00441,,,,,,113.525,,,,
1990-12-25,114.0,114.1,114.2,114.0,2780.0,sh000001,0.00088,,,,,,113.64,,,,
1990-12-26,114.4,114.3,114.4,114.2,310.0,sh000001,0.00175,0.01061,,,,,113.88,,,,
1990-12-27,114.3,114.25,114.3,114.1,6110.0,sh000001,-0.00044,0.00661,,,,,114.03,,,,
1990-12-28,114.3,114.4,114.4,114.2,4840.0,sh000001,0.00131,0.00793,,,,,114.21,,,,
1990-12-31,114.7,114.7,114.8,114.6,2400.0,sh000001,0.00262,0.00614,,,,,114.35,,,,
1991-01-02,115.0,114.9,115.0,114.8,520.0,sh000001,0.00174,0.00701,,,,,114.51,,,,
1991-01-03,115.2,114.9,115.2,114.8,1900.0,sh000001,0.0,0.00525,,,,,114.63,114.15,,,
1991-01-04,115.2,115.2,115.5,115.0,2100.0,sh000001,0.00261,0.00832,,,,,114.82,114.2375,,,
1991-01-07,115.7,115.7,116.1,115.7,830.0,sh000001,0.00434,0.01136,,,,,115.08,114.35,,,
1991-01-08,116.0,115.7,116.1,115.7,1400.0,sh000001,0.0,0.00872,,,,,115.28,114.44643,,,
1991-01-09,116.0,116.0,116.0,115.9,630.0,sh000001,0.00259,0.00957,,,,,115.5,114.55,,,
1991-01-10,116.1,116.4,116.4,116.0,540.0,sh000001,0.00345,0.01305,,,,,115.8,114.66563,,,
1991-01-11,116.35,116.5,116.5,116.3,1090.0,sh000001,0.00086,0.01128,,,,,116.06,114.77353,,,
1991-01-14,117.0,117.0,117.0,117.0,1610.0,sh000001,0.00429,0.01124,,,,,116.32,114.89722,,,
1991-01-15,117.3,117.5,117.5,117.3,270.0,sh000001,0.00427,0.01556,,,,,116.68,115.03421,,,
1991-01-16,117.5,117.9,118.0,117.5,1060.0,sh000001,0.0034,0.01638,,,,,117.06,115.1775,,,
1991-01-17,117.8,117.9,118.0,117.8,4180.0,sh000001,0.0,0.01289,,,,,117.36,115.30714,,,
1991-01-18,117.9,118.1,118.1,117.9,1040.0,sh000001,0.0017,0.01373,0.04421,,,,117.68,115.54524,,,
1991-01-21,118.3,118.3,118.3,118.3,130.0,sh000001,0.00169,0.01111,0.04229,,,,117.94,115.77381,,,
1991-01-22,118.2,118.3,118.3,118.2,1670.0,sh000001,0.0,0.00681,0.04229,,,,118.1,116.00238,,,
1991-01-23,118.3,118.4,118.4,118.3,340.0,sh000001,0.00085,0.00424,0.0386,,,,118.2,116.2119,,,
1991-01-24,118.3,118.4,118.4,118.3,650.0,sh000001,0.0,0.00424,0.03769,,,,118.3,116.41667,,,
1991-01-25,118.4,118.7,118.7,118.4,2890.0,sh000001,0.00253,0.00508,0.0385,,,,118.42,116.62619,,,
1991-01-28,118.6,118.7,118.7,118.5,9750.0,sh000001,0.0,0.00338,0.03895,,,,118.5,116.8381,,,
1991-01-29,118.7,118.7,118.7,118.7,1230.0,sh000001,0.0,0.00338,0.03759,,,,118.58,117.04286,,,
1991-01-30,118.7,118.7,118.7,118.7,1170.0,sh000001,0.0,0.00253,0.03487,,,,118.64,117.23333,,,
1991-01-31,118.8,118.8,118.9,118.8,690.0,sh000001,0.00084,0.00338,0.03394,,,,118.72,117.41905,116.34032,,
1991-02-01,119.0,119.0,119.0,118.9,540.0,sh000001,0.00168,0.00253,0.03568,,,,118.78,117.61429,116.42344,,
1991-02-04,119.1,119.1,119.2,119.1,3850.0,sh000001,0.00084,0.00337,0.03385,,,,118.86,117.8,116.50455,,
1991-02-05,119.2,119.3,119.5,119.2,2840.0,sh000001,0.00168,0.00505,0.03111,,,,118.98,117.97143,116.58676,,
1991-02-06,119.5,119.7,119.7,119.5,890.0,sh000001,0.00335,0.00842,0.03457,,,,119.18,118.1619,116.67571,,
1991-02-07,119.5,119.9,119.9,119.5,850.0,sh000001,0.00167,0.00926,0.03362,,,,119.4,118.34762,116.76528,,
1991-02-08,120.2,120.0,120.2,120.0,100.0,sh000001,0.00083,0.0084,0.03093,,,,119.6,118.51905,116.8527,,
1991-02-11,120.2,120.3,120.3,120.2,930.0,sh000001,0.0025,0.01008,0.03262,,,,119.84,118.7,116.94342,,
1991-02-12,119.4,120.5,120.5,119.4,5190.0,sh000001,0.00166,0.01006,0.02991,,,,120.08,118.86667,117.03462,,
1991-02-13,120.5,120.5,120.6,120.5,1100.0,sh000001,0.0,0.00668,0.02553,,,,120.24,119.00952,117.12125,,
1991-02-14,120.5,120.7,120.7,120.5,350.0,sh000001,0.00166,0.00667,0.02375,,,,120.4,119.14286,117.20854,,
1991-02-19,120.9,121.0,121.2,120.9,400.0,sh000001,0.00249,0.00833,0.02629,,,,120.6,119.29048,117.29881,,
1991-02-20,121.1,121.2,121.3,121.1,230.0,sh000001,0.00165,0.00748,0.02625,,,,120.78,119.4381,117.38953,,
1991-02-21,121.3,121.3,121.4,121.3,130.0,sh000001,0.00083,0.00664,0.02536,,,,120.94,119.58095,117.47841,,
1991-02-22,121.6,121.9,121.9,121.6,1470.0,sh000001,0.00495,0.01162,0.03043,,,,121.22,119.75238,117.57667,,
1991-02-25,122.1,122.4,122.4,122.1,1390.0,sh000001,0.0041,0.01408,0.03378,,,,121.56,119.94286,117.68152,,
1991-02-26,122.5,122.7,122.8,122.5,930.0,sh000001,0.00245,0.01405,0.03632,,,,121.9,120.14762,117.7883,,
1991-02-27,122.6,122.6,122.7,122.6,200.0,sh000001,-0.00081,0.01155,0.03286,,,,122.18,120.33333,117.88854,,
1991-02-28,122.5,122.6,122.6,122.5,460.0,sh000001,0.0,0.01072,0.03286,,,,122.44,120.51905,117.98469,,
1991-03-01,122.7,122.6,122.7,122.6,700.0,sh000001,0.0,0.00574,0.03286,,,,122.58,120.70476,118.077,,
1991-03-04,122.6,122.7,122.8,122.6,960.0,sh000001,0.00082,0.00245,0.0337,,,,122.64,120.89524,118.16765,,
1991-03-05,122.7,122.9,123.1,122.7,2710.0,sh000001,0.00163,0.00163,0.03451,,,,122.68,121.09048,118.25865,,
1991-03-06,122.8,122.9,123.0,122.7,1140.0,sh000001,0.0,0.00245,0.03277,,,,122.74,121.27619,118.34623,,
1991-03-07,122.9,122.8,122.9,122.8,10820.0,sh000001,-0.00081,0.00163,0.03107,,,,122.78,121.45238,118.4287,,
1991-03-08,122.9,123.1,123.1,122.9,2540.0,sh000001,0.00244,0.00408,0.03185,,,,122.88,121.63333,118.51364,,
1991-03-11,123.0,123.2,123.3,123.0,3110.0,sh000001,0.00081,0.00407,0.02924,,,,122.98,121.8,118.59732,,
1991-03-12,123.0,123.1,123.1,123.0,1450.0,sh000001,-0.00081,0.00163,0.02669,,,,123.02,121.95238,118.67632,,
1991-03-13,123.1,123.1,123.1,123.0,7840.0,sh000001,0.0,0.00163,0.02583,,,,123.06,122.1,118.75259,,
1991-03-14,123.1,123.2,123.2,123.1,5260.0,sh000001,0.00081,0.00326,0.02411,,,,123.14,122.2381,118.82797,,
1991-03-15,123.2,123.3,123.3,123.2,3180.0,sh000001,0.00081,0.00162,0.02324,,,,123.18,122.37143,118.9025,,
1991-03-18,123.3,123.8,123.8,123.3,3580.0,sh000001,0.00406,0.00487,0.02739,,,,123.3,122.52857,118.98279,,
1991-03-19,123.8,124.3,124.3,123.8,5170.0,sh000001,0.00404,0.00975,0.02983,,,,123.54,122.7,119.06855,119.06855,
1991-03-20,124.2,124.2,124.2,124.2,1280.0,sh000001,-0.0008,0.00894,0.02645,0.09814,,,123.76,122.85238,119.24758,119.15,
1991-03-21,124.3,124.3,124.3,124.3,2650.0,sh000001,0.00081,0.00893,0.02558,0.09515,,,123.98,123.0,119.42177,119.23047,
1991-03-22,124.3,124.3,124.3,124.3,1760.0,sh000001,0.0,0.00811,0.02473,0.09515,,,124.18,123.14286,119.59597,119.30846,
1991-03-25,124.4,124.5,124.5,124.4,5480.0,sh000001,0.00161,0.00565,0.02133,0.09211,,,124.32,123.26667,119.76532,119.38712,
1991-03-26,124.5,124.5,124.6,124.5,4580.0,sh000001,0.0,0.00161,0.01716,0.09115,,,124.36,123.36667,119.93306,119.46343,
1991-03-27,124.6,124.8,124.8,124.6,5760.0,sh000001,0.00241,0.00483,0.01711,0.09186,,,124.48,123.46667,120.10242,119.54191,
1991-03-28,124.8,124.9,124.9,124.8,1860.0,sh000001,0.0008,0.00483,0.01876,0.09322,,,124.6,123.57619,120.27419,119.61957,
1991-03-29,125.0,125.2,125.2,125.0,3260.0,sh000001,0.0024,0.00724,0.02121,0.09441,,,124.78,123.7,120.44839,119.69929,
1991-04-01,125.2,125.4,125.4,125.2,4350.0,sh000001,0.0016,0.00723,0.02284,0.09329,,,124.96,123.83333,120.62097,119.77958,
1991-04-02,125.2,125.6,125.8,125.2,4450.0,sh000001,0.00159,0.00884,0.02363,0.09312,,,125.18,123.97143,120.79355,119.86042,
1991-04-03,125.7,125.8,125.9,125.7,41100.0,sh000001,0.00159,0.00801,0.0236,0.09487,,,125.38,124.10952,120.96935,119.94178,
1991-04-04,125.94,126.2,126.2,125.94,11060.0,sh000001,0.00318,0.01041,0.02685,0.09549,,,125.64,124.26667,121.14677,120.02635,
1991-04-05,126.22,126.7,126.8,126.22,14010.0,sh000001,0.00396,0.01198,0.03176,0.09507,,,125.94,124.45238,121.32419,120.11533,
1991-04-08,126.5,126.6,126.6,126.5,2210.0,sh000001,-0.00079,0.00957,0.02843,0.09421,,,126.18,124.61905,121.5,120.20066,
1991-04-09,126.54,126.64,126.67,126.54,14700.0,sh000001,0.00032,0.00828,0.02792,0.09172,,,126.388,124.78286,121.67161,120.28429,
1991-04-10,126.3,126.42,126.52,126.3,7750.0,sh000001,-0.00174,0.00493,0.02697,0.08608,,,126.512,124.94095,121.83323,120.36295,
1991-04-11,126.32,126.32,126.32,126.32,1620.0,sh000001,-0.00079,0.00095,0.02616,0.08429,,,126.536,125.09429,121.99161,120.43835,
1991-04-12,126.32,126.46,126.5,126.22,2140.0,sh000001,0.00111,-0.00189,0.02646,0.08085,,,126.488,125.24952,122.14419,120.51363,
1991-04-15,126.4,126.6,126.6,126.4,9050.0,sh000001,0.00111,0.0,0.02676,0.07745,,,126.488,125.40667,122.29097,120.58877,
1991-04-16,126.62,126.56,126.62,126.5,2620.0,sh000001,-0.00032,-0.00063,0.02229,0.07345,,,126.472,125.5381,122.43065,120.66159,
1991-04-17,126.44,126.64,126.76,126.44,2440.0,sh000001,0.00063,0.00174,0.01883,0.07413,,,126.516,125.64952,122.57161,120.73361,
1991-04-18,126.62,126.92,126.92,126.62,2700.0,sh000001,0.00221,0.00475,0.0219,0.07468,,,126.636,125.77905,122.71387,120.80726,
1991-04-19,126.9,126.92,126.92,126.81,5870.0,sh000001,0.0,0.00364,0.02108,0.07287,,,126.728,125.90381,122.8529,120.87918,
1991-04-22,126.95,126.96,127.0,126.83,3990.0,sh000001,0.00032,0.00284,0.0214,0.0732,,,126.8,126.03048,122.99258,120.94988,
1991-04-23,126.64,126.78,126.88,126.64,5880.0,sh000001,-0.00142,0.00174,0.01831,0.07078,,,126.844,126.13905,123.12774,121.0169,
1991-04-24,127.0,127.04,127.06,127.0,43140.0,sh000001,0.00205,0.00316,0.0204,0.07297,,,126.924,126.26,123.2671,121.08534,
1991-04-25,127.0,126.83,127.04,126.82,11060.0,sh000001,-0.00165,-0.00071,0.01627,0.06849,,,126.906,126.35667,123.39823,121.14989,
1991-04-26,126.8,126.32,126.8,126.3,1170.0,sh000001,-0.00402,-0.00473,0.01137,0.0642,,,126.786,126.42429,123.52113,121.20733,
1991-04-29,126.04,126.14,126.6,126.04,860.0,sh000001,-0.00142,-0.00646,0.00751,0.06268,,,126.622,126.46905,123.64113,121.26154,
1991-04-30,126.2,126.2,126.2,126.2,500.0,sh000001,0.00048,-0.00457,0.00638,0.06318,,,126.506,126.50714,123.7621,121.31522,
1991-05-02,125.44,125.46,125.46,125.44,1190.0,sh000001,-0.00586,-0.01244,-0.00111,0.05606,,,126.19,126.50048,123.86952,121.35978,
1991-05-03,125.62,126.0,126.0,125.62,2120.0,sh000001,0.0043,-0.00654,0.00159,0.05882,,,126.024,126.51,123.98242,121.40915,
1991-05-07,126.0,126.0,126.0,126.0,90.0,sh000001,0.0,-0.00253,-0.00158,0.05793,,,125.96,126.50048,124.09371,121.45747,
1991-05-08,126.0,126.0,126.0,126.0,2090.0,sh000001,0.0,-0.00111,-0.00552,0.05616,,,125.932,126.46714,124.20177,121.50479,
1991-05-09,126.1,126.1,126.1,126.1,70.0,sh000001,0.00079,-0.00079,-0.00395,0.05347,,,125.912,126.44333,124.305,121.55216,
1991-05-10,126.7,126.7,126.7,126.7,300.0,sh000001,0.00476,0.00988,0.00047,0.05671,,,126.16,126.44619,124.41468,121.60469,
1991-05-13,126.0,126.0,126.0,126.0,120.0,sh000001,-0.00552,0.0,-0.00332,0.05,,,126.16,126.42619,124.51145,121.64909,
1991-05-15,126.0,125.65,126.0,125.65,80.0,sh000001,-0.00278,-0.00278,-0.0053,0.04447,,,126.09,126.39429,124.59774,121.6891,
1991-05-20,126.2,126.3,126.3,126.2,600.0,sh000001,0.00517,0.00238,-0.00127,0.04813,,,126.15,126.38667,124.69129,121.73475,
1991-05-21,126.0,126.15,126.15,125.05,10600.0,sh000001,-0.00119,0.0004,-0.00355,0.04689,,,126.16,126.36524,124.78242,121.77804,
1991-05-23,126.1,126.1,126.1,126.1,20.0,sh000001,-0.0004,-0.00474,-0.00363,0.04474,,,126.04,126.34333,124.86952,121.82,
1991-05-27,125.0,125.0,125.0,125.0,20.0,sh000001,-0.00872,-0.00794,-0.01295,0.03306,,,125.84,126.26524,124.93403,121.85058,
1991-05-29,126.3,126.3,126.3,126.3,550.0,sh000001,0.0104,0.00517,-0.00488,0.04208,,,125.97,126.23571,125.01629,121.89295,
1991-05-30,126.2,126.2,126.2,126.2,5060.0,sh000001,-0.00079,-0.00079,-0.00567,0.0404,,,125.95,126.20143,125.09532,121.93358,
1991-05-31,126.5,126.55,126.55,126.4,30170.0,sh000001,0.00277,0.00317,-0.00323,0.03815,,,126.03,126.1819,125.17032,121.97673,
1991-06-03,126.5,126.5,126.5,126.45,210.0,sh000001,-0.0004,0.00317,-0.00221,0.0335,,,126.11,126.16857,125.23645,122.01861,
1991-06-04,126.35,126.75,126.8,126.35,3270.0,sh000001,0.00198,0.014,-0.00228,0.03301,,,126.46,126.15476,125.30177,122.06202,
1991-06-05,126.8,126.65,126.8,126.65,70.0,sh000001,-0.00079,0.00277,-0.00142,0.03303,,,126.53,126.14619,125.3671,122.10373,
1991-06-06,126.5,126.75,126.75,126.5,240.0,sh000001,0.00079,0.00436,0.0034,0.03385,,,126.64,126.16667,125.43403,122.14559,
1991-06-07,126.8,126.9,126.9,126.8,390.0,sh000001,0.00118,0.00277,0.00603,0.03507,,,126.71,126.20286,125.50339,122.18804,
