date,open,close,high,low,volume,code,ret_0_1_d,ret_0_5_d,ret_0_21_d,ret_0_62_d,ret_0_123_d,ret_0_246_d,ma5,ma21,ma62,ma123,ma246
1991-12-23,101.44,102.61,102.61,101.44,19438.0,sz399106,,,,,,,,,,,
1991-12-24,102.61,110.47,110.47,102.61,43020.0,sz399106,0.0766,,,,,,,,,,
1991-12-25,110.47,110.04,110.47,110.04,41416.0,sz399106,-0.00389,,,,,,107.70667,,,,
1991-12-26,110.04,106.56,110.47,106.56,31876.0,sz399106,-0.03162,,,,,,107.42,,,,
1991-12-27,106.56,108.33,108.33,106.56,30276.0,sz399106,0.01661,,,,,,107.602,,,,
1991-12-28,108.33,110.8,110.8,108.33,19052.0,sz399106,0.0228,0.07982,,,,,109.24,,,,
1991-12-30,110.8,109.22,110.8,109.22,20875.0,sz399106,-0.01426,-0.01132,,,,,108.99,,,,
1992-01-01,109.22,110.36,110.36,109.22,14585.0,sz399106,0.01044,0.00291,,,,,109.054,,,,
1992-01-02,110.36,110.51,110.51,110.36,26533.0,sz399106,0.00136,0.03707,,,,,109.844,,,,
1992-01-03,110.51,110.16,110.51,110.16,26622.0,sz399106,-0.00317,0.01689,,,,,110.21,,,,
1992-01-06,110.16,111.28,111.28,110.16,34639.0,sz399106,0.01017,0.00433,,,,,110.306,109.12182,,,
1992-01-07,111.28,112.89,112.89,111.28,48672.0,sz399106,0.01447,0.0336,,,,,111.04,109.43583,,,
1992-01-08,112.89,112.08,112.89,112.08,35751.0,sz399106,-0.00718,0.01559,,,,,111.384,109.63923,,,
1992-01-09,112.08,112.73,112.73,112.08,19085.0,sz399106,0.0058,0.02009,,,,,111.828,109.86,,,
1992-01-10,112.73,113.08,113.08,112.73,16060.0,sz399106,0.0031,0.02651,,,,,112.412,110.07467,,,
1992-01-13,113.08,111.97,113.08,111.97,16375.0,sz399106,-0.00982,0.0062,,,,,112.55,110.19312,,,
1992-01-14,111.97,110.33,111.97,110.33,12986.0,sz399106,-0.01465,-0.02268,,,,,112.038,110.20118,,,
1992-01-15,110.33,109.23,110.33,109.21,29425.0,sz399106,-0.00997,-0.02543,,,,,111.468,110.14722,,,
1992-01-16,109.23,107.08,109.23,107.08,29425.0,sz399106,-0.01968,-0.05012,,,,,110.338,109.98579,,,
1992-01-17,107.08,108.36,108.36,107.08,16138.0,sz399106,0.01195,-0.04174,,,,,109.394,109.9045,,,
1992-01-20,108.36,109.74,109.74,108.36,20357.0,sz399106,0.01274,-0.01992,,,,,108.948,109.89667,,,
1992-01-21,109.74,108.6,109.74,108.6,14561.0,sz399106,-0.01039,-0.01568,0.05838,,,,108.602,110.1819,,,
1992-01-22,108.6,108.3,108.6,108.3,19711.0,sz399106,-0.00276,-0.00851,-0.01964,,,,108.416,110.07857,,,
1992-01-23,108.3,109.07,109.07,108.3,17688.0,sz399106,0.00711,0.01858,-0.00881,,,,108.814,110.03238,,,
1992-01-24,109.07,110.15,110.15,109.07,20658.0,sz399106,0.0099,0.01652,0.03369,,,,109.172,110.20333,,,
1992-01-27,110.15,109.32,110.15,109.32,26886.0,sz399106,-0.00754,-0.00383,0.00914,,,,109.088,110.25048,,,
1992-01-28,109.32,109.81,109.81,109.32,20250.0,sz399106,0.00448,0.01114,-0.00894,,,,109.33,110.20333,,,
1992-01-29,109.81,110.98,110.98,109.81,21232.0,sz399106,0.01065,0.02475,0.01611,,,,109.866,110.28714,,,
1992-01-30,110.98,112.57,112.57,110.98,22117.0,sz399106,0.01433,0.03209,0.02003,,,,110.566,110.39238,,,
1992-02-01,114.69,115.36,115.36,114.69,17822.0,sz399106,0.02478,0.0473,0.04389,,,,111.608,110.62333,,,
1992-02-02,115.36,116.36,116.36,115.36,11387.0,sz399106,0.00867,0.0644,0.05628,,,,113.016,110.91857,110.26935,,
1992-02-10,116.36,114.46,116.36,114.46,16433.0,sz399106,-0.01633,0.04235,0.02858,,,,113.946,111.07,110.40031,,
1992-02-11,114.46,114.49,114.49,114.46,15050.0,sz399106,0.00026,0.03163,0.01417,,,,114.648,111.14619,110.52424,,
1992-02-12,114.49,115.3,115.3,114.49,12741.0,sz399106,0.00707,0.02425,0.02873,,,,115.194,111.29952,110.66471,,
1992-02-13,115.19,115.28,115.28,115.0,15138.0,sz399106,-0.00017,-0.00069,0.02262,,,,115.178,111.42095,110.79657,,
1992-02-14,115.28,114.19,115.28,114.19,30008.0,sz399106,-0.00946,-0.01865,0.00982,,,,114.744,111.47381,110.89083,,
1992-02-17,114.19,112.83,114.19,112.83,25607.0,sz399106,-0.01191,-0.01424,0.00768,,,,114.418,111.51476,110.94324,,
1992-02-18,112.83,112.08,112.83,112.08,27308.0,sz399106,-0.00665,-0.02105,0.01586,,,,113.936,111.5981,110.97316,,
1992-02-19,112.08,112.23,112.23,112.08,18955.0,sz399106,0.00134,-0.02663,0.02746,,,,113.322,111.74095,111.00538,,
1992-02-20,112.23,113.8,113.8,112.23,21992.0,sz399106,0.01399,-0.01284,0.06276,,,,113.026,112.06095,111.07525,,
1992-02-21,113.8,113.51,113.8,113.51,16228.0,sz399106,-0.00255,-0.00595,0.04753,,,,112.89,112.30619,111.13463,,
