code,name,oDate,tDate
900949,东电B股,1997-09-22,2013-11-07
600253,天方药业,2000-12-27,2013-07-15
600991,广汽长丰,2004-06-14,2012-03-20
600263,路桥建设,2000-07-25,2012-03-01
600102,莱钢股份,1997-08-28,2012-02-28
600631,百联股份,1993-02-26,2011-08-23
600553,太行水泥,2002-08-22,2011-02-18
600003,ST东北高,1999-08-10,2010-02-26
600842,中西药业,1994-03-11,2010-02-12
600607,上实医药,1992-03-27,2010-02-12
600591,*ST上航,2002-10-11,2010-01-25
600357,承德钒钛,2002-09-06,2009-12-29
600001,邯郸钢铁,1998-01-22,2009-12-29
600840,新湖创业,1994-03-11,2009-08-27
600627,上电股份,1993-01-18,2008-11-26
600656,*ST博元,1990-12-19,2008-07-01
600472,包头铝业,2005-05-09,2007-12-26
600065,*ST联谊,1997-05-23,2007-12-13
600762,S*ST金荔,1996-10-25,2007-11-20
600181,S*ST云大,1998-09-28,2007-06-01
600286,S*ST国瓷,1999-12-09,2007-05-31
600296,S兰铝,2000-07-19,2007-04-30
600205,S山东铝,1999-06-30,2007-04-30
600092,S*ST精密,1997-06-26,2006-11-30
600772,S*ST龙昌,1996-11-04,2006-11-30
600002,齐鲁退市,1998-04-08,2006-04-24
600659,*ST花雕,1993-05-28,2006-03-23
600799,*ST龙科,1997-04-16,2005-12-31
600752,*ST哈慈,1996-09-25,2005-09-22
600899,*ST信联,1996-04-26,2005-09-21
600700,*ST数码,1996-04-30,2005-09-20
600852,*ST中川,1994-04-04,2005-09-16
600672,*ST华圣,1993-09-17,2005-08-05
600788,*ST达曼,1996-12-30,2005-03-25
600632,华联商厦,1992-02-19,2004-11-18
600670,*ST斯达,1993-08-09,2004-09-24
600878,*ST北科,1995-10-13,2004-09-15
600669,*ST鞍成,1993-08-06,2004-09-15
600646,ST国嘉,1993-05-04,2003-09-22
600709,ST生态,1996-06-18,2003-05-23
600813,ST鞍一工,1994-01-14,2002-09-16
600625,PT水仙,1993-01-06,2001-04-23
601268,*ST二重,2010-02-02,-
601299,中国北车,2009-12-29,-
600786,东锅退市,1996-12-27,-
600832,东方明珠,1994-02-24,-
