code,name,date,weight
600236,桂冠电力,2016-08-01,0.15
603355,莱克电气,2016-08-01,0.04
600316,洪都航空,2016-08-01,0.22
600664,哈药股份,2016-08-01,0.34
000012,南 玻Ａ,2016-08-01,0.26
600525,长园集团,2016-08-01,0.4
002463,沪电股份,2016-08-01,0.15
600487,亨通光电,2016-08-01,0.34
601801,皖新传媒,2016-08-01,0.12
601012,隆基股份,2016-08-01,0.43
002028,思源电气,2016-08-01,0.15
600537,亿晶光电,2016-08-01,0.2
000975,银泰资源,2016-08-01,0.26
002216,三全食品,2016-08-01,0.08
601678,滨化股份,2016-08-01,0.11
002345,潮宏基,2016-08-01,0.11
600026,中远海能,2016-08-01,0.23
002512,达华智能,2016-08-01,0.2
600056,中国医药,2016-08-01,0.23
002233,塔牌集团,2016-08-01,0.08
600521,华海药业,2016-08-01,0.4
600436,片仔癀,2016-08-01,0.4
600418,江淮汽车,2016-08-01,0.28
601155,新城控股,2016-08-01,0.26
603589,口子窖,2016-08-01,0.05
300115,长盈精密,2016-08-01,0.25
600811,东方集团,2016-08-01,0.26
600699,均胜电子,2016-08-01,0.31
002293,罗莱生活,2016-08-01,0.1
000931,中 关 村,2016-08-01,0.11
000550,江铃汽车,2016-08-01,0.14
000816,智慧农业,2016-08-01,0.17
600498,烽火通信,2016-08-01,0.34
600183,生益科技,2016-08-01,0.18
600166,福田汽车,2016-08-01,0.34
600064,南京高科,2016-08-01,0.24
600312,平高电气,2016-08-01,0.31
000998,隆平高科,2016-08-01,0.32
600614,鼎立股份,2016-08-01,0.2
600755,厦门国贸,2016-08-01,0.28
600754,锦江股份,2016-08-01,0.17
002250,联化科技,2016-08-01,0.22
600682,南京新百,2016-08-01,0.35
000656,金科股份,2016-08-01,0.31
000517,荣安地产,2016-08-01,0.08
600978,宜华生活,2016-08-01,0.37
600522,中天科技,2016-08-01,0.56
002665,首航节能,2016-08-01,0.28
002384,东山精密,2016-08-01,0.16
600176,中国巨石,2016-08-01,0.29
000488,晨鸣纸业,2016-08-01,0.21
600565,迪马股份,2016-08-01,0.24
600835,上海机电,2016-08-01,0.18
000878,云南铜业,2016-08-01,0.25
600750,江中药业,2016-08-01,0.16
002085,万丰奥威,2016-08-01,0.38
000572,海马汽车,2016-08-01,0.16
000513,丽珠集团,2016-08-01,0.16
002221,东华能源,2016-08-01,0.27
600094,大名城,2016-08-01,0.28
600120,浙江东方,2016-08-01,0.32
002727,一心堂,2016-08-01,0.14
603806,福斯特,2016-08-01,0.1
002371,七星电子,2016-08-01,0.17
600201,生物股份,2016-08-01,0.45
300055,万邦达,2016-08-01,0.28
002048,宁波华翔,2016-08-01,0.23
603555,贵人鸟,2016-08-01,0.08
603169,兰石重装,2016-08-01,0.1
601908,京运通,2016-08-01,0.11
601168,西部矿业,2016-08-01,0.39
601005,重庆钢铁,2016-08-01,0.13
600971,恒源煤电,2016-08-01,0.08
600879,航天电子,2016-08-01,0.35
600859,王府井,2016-08-01,0.16
600765,中航重机,2016-08-01,0.19
600687,刚泰控股,2016-08-01,0.26
600673,东阳光科,2016-08-01,0.29
600655,豫园商城,2016-08-01,0.33
600645,中源协和,2016-08-01,0.27
600633,浙报传媒,2016-08-01,0.24
600551,时代出版,2016-08-01,0.1
600511,国药股份,2016-08-01,0.21
600496,精工钢构,2016-08-01,0.13
600466,蓝光发展,2016-08-01,0.09
600282,南钢股份,2016-08-01,0.13
600277,亿利洁能,2016-08-01,0.16
600219,南山铝业,2016-08-01,0.4
600171,上海贝岭,2016-08-01,0.23
600161,天坛生物,2016-08-01,0.24
600158,中体产业,2016-08-01,0.31
600151,航天机电,2016-08-01,0.25
600143,金发科技,2016-08-01,0.32
300088,长信科技,2016-08-01,0.28
300032,金龙机电,2016-08-01,0.15
002745,木林森,2016-08-01,0.08
002681,奋达科技,2016-08-01,0.15
002646,青青稞酒,2016-08-01,0.1
002635,安洁科技,2016-08-01,0.16
002489,浙江永强,2016-08-01,0.21
002437,誉衡药业,2016-08-01,0.19
002400,省广股份,2016-08-01,0.36
002396,星网锐捷,2016-08-01,0.16
002368,太极股份,2016-08-01,0.18
002242,九阳股份,2016-08-01,0.18
002025,航天电器,2016-08-01,0.16
000926,福星股份,2016-08-01,0.18
000887,中鼎股份,2016-08-01,0.38
000829,天音控股,2016-08-01,0.2
000748,长城信息,2016-08-01,0.36
000727,华东科技,2016-08-01,0.24
000697,炼石有色,2016-08-01,0.25
000690,宝新能源,2016-08-01,0.26
000671,阳 光 城,2016-08-01,0.26
000563,陕国投Ａ,2016-08-01,0.21
